node_0.9
SST
JUN
VIP
CYP3A4
SSTR1
GLP1R
EGR1
PRKACG
CYP26A1
PENK
GSTA5
HTR2C
NKG7
XIRP1
OR8H3
COCH
KL
SCN3B
NECAB2
OR8S1
HMP19
CCBE1
GALNT14
LUZP2
PCNX
