,Gene
0,BDNF
1,EGR1
2,NPTX2
3,HTR2C
4,SST
5,NEUROD6
6,CHAT
7,GRM8
8,VIP
9,CNR1
10,JUN
11,GLP1R
12,PRKACG
13,PENK
14,BTG2
15,CYP26A1
16,CYP3A4
17,GSTA5
18,MYCN
19,SH3RF1
20,NECAB1
21,NECAB2
22,OR10K1
23,OR1S2
24,OR51A7
25,OR7A17
26,OR7G2
27,OR8H3
28,OR8S1
29,SSTR1
