node_0.15
PRKACG
BDNF
SST
JUN
PENK
HPCA
CPLX3
HTR2C
CYP3A4
NECAB2
VIP
EGR1
GLP1R
NEUROD6
GRM8
NECAB1
CYP26A1
KCNA4
CNR1
CHAT
SCN3B
UBE2C
SERPINB7
SLC34A2
MYCN
