node_0.4
PRKACG
BDNF
SST
VIP
JUN
PENK
GLP1R
EGR1
CYP3A4
CNR1
CHAT
NECAB2
SPRR3
CXCR2
SSTR1
C4BPA
BTG2
UBE2C
CKS2
CKAP2L
HTR2C
CYP26A1
GSTA5
NECAB1
NPTX2
