#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BDNF	SST	9606.ENSP00000414303	9606.ENSP00000287641	0	0	0	0	0.042	0	0	0.722	0.723
BDNF	CNR1	9606.ENSP00000414303	9606.ENSP00000358513	0	0	0	0	0.074	0	0	0.777	0.784
BDNF	PRKACG	9606.ENSP00000414303	9606.ENSP00000366488	0	0	0	0	0	0	0	0.748	0.748
C4BPA	SPRR3	9606.ENSP00000356037	9606.ENSP00000330391	0	0	0	0	0	0	0	0.721	0.721
CCN1	EGR1	9606.ENSP00000398736	9606.ENSP00000239938	0	0	0	0	0.336	0	0	0.675	0.774
CHAT	VIP	9606.ENSP00000337103	9606.ENSP00000356213	0	0	0	0	0	0	0	0.720	0.720
CKS2	UBE2C	9606.ENSP00000364976	9606.ENSP00000348838	0	0	0	0	0.621	0.045	0	0.681	0.874
CYP26A1	CYP3A4	9606.ENSP00000224356	9606.ENSP00000498939	0	0	0.226	0.599	0.075	0.069	0.906	0.247	0.944
CYP3A4	GSTA5	9606.ENSP00000498939	9606.ENSP00000360028	0	0	0	0	0.116	0	0.900	0.207	0.923
EGR1	JUN	9606.ENSP00000239938	9606.ENSP00000360266	0	0	0	0	0.788	0.091	0.500	0.914	0.990
GLP1R	VIP	9606.ENSP00000362353	9606.ENSP00000356213	0	0	0	0	0	0.105	0.900	0.881	0.988
JUN	PRKACG	9606.ENSP00000360266	9606.ENSP00000366488	0	0	0	0	0	0	0.900	0.650	0.963
NECAB1	NECAB2	9606.ENSP00000387380	9606.ENSP00000307449	0	0	0	0.907	0.074	0.773	0	0.093	0.792
PENK	SST	9606.ENSP00000400894	9606.ENSP00000287641	0	0	0.389	0	0.086	0	0.500	0.799	0.936
SST	SSTR1	9606.ENSP00000287641	9606.ENSP00000267377	0	0	0	0	0.122	0	0.900	0.999	0.999
SST	VIP	9606.ENSP00000287641	9606.ENSP00000356213	0	0	0	0	0.178	0	0	0.931	0.941
