,node,lap_barcode_0.9,lap_lamda_0.9,lap_sum_0.9,lap_sum_norm_0.9
0,CHAT,0.0,0.0,0.0,0.0
1,CALHM1,0.0,0.0,0.0,0.0
2,HPVC1,0.0,0.0,0.0,0.0
3,LOC100270679,0.0,0.0,0.0,0.0
4,LOC728061,0.0,0.0,0.0,0.0
5,MGC34800,0.0,0.0,0.0,0.0
6,PRKACG,1.0,4.208570993174692,4.325744999949882,0.9945341466552855
7,GGNBP1,0.0,0.0,0.0,0.0
8,LOC100127904,0.0,0.0,0.0,0.0
9,LEPREL1,0.0,0.0,0.0,0.0
10,GPR32,0.0,0.0,0.0,0.0
11,OR51A7,0.0,0.0,0.0,0.0
12,AMTN,0.0,0.0,0.0,0.0
13,FKSG2,0.0,0.0,0.0,0.0
14,PRSS56,0.0,0.0,0.0,0.0
15,LOC100128342,0.0,0.0,0.0,0.0
16,ZNF479,0.0,0.0,0.0,0.0
17,KLRAP1,0.0,0.0,0.0,0.0
18,CYP3A4,1.4142135623730951,6.2488154322024245,6.406847454538867,1.4359241861175267
19,CXCL17,0.0,0.0,0.0,0.0
20,LOC100128320,0.0,0.0,0.0,0.0
21,C20orf118,0.0,0.0,0.0,0.0
22,LOC170425,0.0,0.0,0.0,0.0
23,PSORS1C1,0.0,0.0,0.0,0.0
24,LOC100128386,0.0,0.0,0.0,0.0
25,CPLX3,0.0,0.0,0.0,0.0
26,SPRR3,0.0,0.0,0.0,0.0
27,CCDC87,0.0,0.0,0.0,0.0
28,OR7A17,0.0,0.0,0.0,0.0
29,C4BPA,0.0,0.0,0.0,0.0
30,LOC100128788,0.0,0.0,0.0,0.0
31,CCDC60,0.0,0.0,0.0,0.0
32,C17orf77,0.0,0.0,0.0,0.0
33,CLLU1OS,0.0,0.0,0.0,0.0
34,OR7G2,0.0,0.0,0.0,0.0
35,PPIAL4G,0.0,0.0,0.0,0.0
36,CASP12,0.0,0.0,0.0,0.0
37,LOC100130876,0.0,0.0,0.0,0.0
38,SFTA2,0.0,0.0,0.0,0.0
39,CKS2,0.0,0.0,0.0,0.0
40,ZNF705G,0.0,0.0,0.0,0.0
41,HAO1,0.0,0.0,0.0,0.0
42,CXCR2,0.0,0.0,0.0,0.0
43,OR8U8,0.0,0.0,0.0,0.0
44,CKAP2L,0.0,0.0,0.0,0.0
45,DCAF17,0.0,0.0,0.0,0.0
46,C1orf140,0.0,0.0,0.0,0.0
47,FSD2,0.0,0.0,0.0,0.0
48,VANGL2,0.0,0.0,0.0,0.0
49,C1orf95,0.0,0.0,0.0,0.0
50,MBL2,0.0,0.0,0.0,0.0
51,LOC100129104,0.0,0.0,0.0,0.0
52,SERPINB7,0.0,0.0,0.0,0.0
53,NPHS2,0.0,0.0,0.0,0.0
54,SPINT3,0.0,0.0,0.0,0.0
55,OR1S2,0.0,0.0,0.0,0.0
56,C9orf146,0.0,0.0,0.0,0.0
57,SAV1,0.0,0.0,0.0,0.0
58,LOC283587,0.0,0.0,0.0,0.0
59,PRHOXNB,0.0,0.0,0.0,0.0
60,DCAF8L2,0.0,0.0,0.0,0.0
61,UBE2C,0.0,0.0,0.0,0.0
62,LOC100128126,0.0,0.0,0.0,0.0
63,MRGPRD,0.0,0.0,0.0,0.0
64,SLC34A2,0.0,0.0,0.0,0.0
65,LOC441461,0.0,0.0,0.0,0.0
66,LOC283352,0.0,0.0,0.0,0.0
67,LOC100132874,0.0,0.0,0.0,0.0
68,S100A2,0.0,0.0,0.0,0.0
69,FLJ31183,0.0,0.0,0.0,0.0
70,SH3RF1,0.0,0.0,0.0,0.0
71,SSTR1,1.0,6.3306621931775,6.409156247442167,1.2048911149917299
72,GSG1L,0.0,0.0,0.0,0.0
73,GUCA2B,0.0,0.0,0.0,0.0
74,GUCY1B2,0.0,0.0,0.0,0.0
75,XIRP1,0.0,0.0,0.0,0.0
76,DKFZP586K1520,0.0,0.0,0.0,0.0
77,LOC284551,0.0,0.0,0.0,0.0
78,LUZP2,0.0,0.0,0.0,0.0
79,PRO0471,0.0,0.0,0.0,0.0
80,CATSPER4,0.0,0.0,0.0,0.0
81,C1orf204,0.0,0.0,0.0,0.0
82,KIF12,0.0,0.0,0.0,0.0
83,SST,1.7320508075688772,10.088048029902877,10.23565889689703,2.0
84,USP26,0.0,0.0,0.0,0.0
85,CSPG4,0.0,0.0,0.0,0.0
86,LOC145694,0.0,0.0,0.0,0.0
87,C4orf45,0.0,0.0,0.0,0.0
88,KCTD4,0.0,0.0,0.0,0.0
89,IMPACT,0.0,0.0,0.0,0.0
90,PCNX,0.0,0.0,0.0,0.0
91,EGR1,1.0,4.771714656495015,4.8753728845093836,1.0503570037284338
92,HIST1H4G,0.0,0.0,0.0,0.0
93,COCH,0.0,0.0,0.0,0.0
94,HMP19,0.0,0.0,0.0,0.0
95,OR8S1,0.0,0.0,0.0,0.0
96,NECAB2,0.0,0.0,0.0,0.0
