node_0.7
SST
VIP
BDNF
JUN
CYP3A4
PRKACG
SSTR1
GLP1R
EGR1
CYP26A1
UBE2C
CKS2
NECAB1
NECAB2
GSTA5
PENK
SPRR3
C4BPA
CNR1
CHAT
LOC100128320
HPCA
FPR3
LOC645949
BTG2
