node_0.15,node_0.4,node_0.7,node_0.9
PRKACG,PRKACG,SST,SST
BDNF,BDNF,VIP,JUN
SST,SST,BDNF,VIP
JUN,VIP,JUN,CYP3A4
PENK,JUN,CYP3A4,SSTR1
HPCA,PENK,PRKACG,GLP1R
CPLX3,GLP1R,SSTR1,EGR1
HTR2C,EGR1,GLP1R,PRKACG
CYP3A4,CYP3A4,EGR1,CYP26A1
NECAB2,CNR1,CYP26A1,PENK
VIP,CHAT,UBE2C,GSTA5
EGR1,NECAB2,CKS2,HTR2C
GLP1R,SPRR3,NECAB1,NKG7
NEUROD6,CXCR2,NECAB2,XIRP1
GRM8,SSTR1,GSTA5,OR8H3
NECAB1,C4BPA,PENK,COCH
CYP26A1,BTG2,SPRR3,KL
KCNA4,UBE2C,C4BPA,SCN3B
CNR1,CKS2,CNR1,NECAB2
CHAT,CKAP2L,CHAT,OR8S1
SCN3B,HTR2C,LOC100128320,HMP19
UBE2C,CYP26A1,HPCA,CCBE1
SERPINB7,GSTA5,FPR3,GALNT14
SLC34A2,NECAB1,LOC645949,LUZP2
MYCN,NPTX2,BTG2,PCNX
