,node,lap_barcode_0.7,lap_lamda_0.7,lap_sum_0.7,lap_sum_norm_0.7
0,SNORD115-42,0.0,0.0,0.0,0.0
1,SNORD115-40,0.0,0.0,0.0,0.0
2,SNORD115-21,0.0,0.0,0.0,0.0
3,SNORD115-6,0.0,0.0,0.0,0.0
4,MMD,0.0,0.0,0.0,0.0
5,FAM104B,0.0,0.0,0.0,0.0
6,IL13RA2,0.0,0.0,0.0,0.0
7,SNORD116-27,0.0,0.0,0.0,0.0
8,SNORD115-31,0.0,0.0,0.0,0.0
9,SNORD115-42,0.0,0.0,0.0,0.0
10,SNORD115-30,0.0,0.0,0.0,0.0
11,SNORD115-10,0.0,0.0,0.0,0.0
12,SNORD115-7,0.0,0.0,0.0,0.0
13,SNORD115-6,0.0,0.0,0.0,0.0
14,SNORA19,0.0,0.0,0.0,0.0
15,C11orf70,0.0,0.0,0.0,0.0
16,ZNF578,0.0,0.0,0.0,0.0
17,SNORD115-40,0.0,0.0,0.0,0.0
18,KCTD4,0.0,0.0,0.0,0.0
19,HTR2C,0.0,0.0,0.0,0.0
20,SEMA3D,0.0,0.0,0.0,0.0
21,GLRA2,0.0,0.0,0.0,0.0
22,RAB3B,0.0,0.0,0.0,0.0
23,PDYN,0.0,0.0,0.0,0.0
24,ROS1,1.0,8.18848906775948,8.249324409478422,1.0882669289682823
25,LRIG3,1.0,11.142803758576942,11.1875857807731,1.3195517563633288
26,SLC34A2,2.23606797749979,12.773491128198133,12.967732091701942,2.0
27,ROS1,1.0,8.18848906775948,8.249324409478422,1.0882669289682823
28,GABRQ,0.0,0.0,0.0,0.0
29,GSTM1,0.0,0.0,0.0,0.0
30,PVALB,0.0,0.0,0.0,0.0
