,node,lap_barcode_0.4,lap_lamda_0.4,lap_sum_0.4,lap_sum_norm_0.4
0,SNORD115-42,0.0,0.0,0.0,0.0
1,SNORD115-40,0.0,0.0,0.0,0.0
2,SNORD115-21,0.0,0.0,0.0,0.0
3,SNORD115-6,0.0,0.0,0.0,0.0
4,MMD,0.0,0.0,0.0,0.0
5,FAM104B,0.0,0.0,0.0,0.0
6,IL13RA2,0.0,0.0,0.0,0.0
7,SNORD116-27,0.0,0.0,0.0,0.0
8,SNORD115-31,0.0,0.0,0.0,0.0
9,SNORD115-42,0.0,0.0,0.0,0.0
10,SNORD115-30,0.0,0.0,0.0,0.0
11,SNORD115-10,0.0,0.0,0.0,0.0
12,SNORD115-7,0.0,0.0,0.0,0.0
13,SNORD115-6,0.0,0.0,0.0,0.0
14,SNORA19,0.0,0.0,0.0,0.0
15,C11orf70,0.0,0.0,0.0,0.0
16,ZNF578,0.0,0.0,0.0,0.0
17,SNORD115-40,0.0,0.0,0.0,0.0
18,KCTD4,0.0,0.0,0.0,0.0
19,HTR2C,1.0,2.018470644939151,2.25260376996956,0.6062319255261213
20,SEMA3D,0.0,0.0,0.0,0.0
21,GLRA2,0.0,0.0,0.0,0.0
22,RAB3B,0.0,0.0,0.0,0.0
23,PDYN,1.4142135623730951,4.228982950905658,4.45918118033465,0.9656215397971462
24,ROS1,1.0,7.957797836419956,8.020383183198302,1.0741415747629235
25,LRIG3,1.0,11.050809380159908,11.095962687240354,1.3178139470465442
26,SLC34A2,2.23606797749979,12.693320604027544,12.888769838763906,2.0
27,ROS1,1.0,7.957797836419956,8.020383183198302,1.0741415747629235
28,GABRQ,0.0,0.0,0.0,0.0
29,GSTM1,0.0,0.0,0.0,0.0
30,PVALB,1.0,3.1972399925916375,3.349976652191381,0.6990972508751452
