,node,lap_barcode_0.9,lap_lamda_0.9,lap_sum_0.9,lap_sum_norm_0.9
0,SNORD115-42,0.0,0.0,0.0,0.0
1,SNORD115-40,0.0,0.0,0.0,0.0
2,SNORD115-21,0.0,0.0,0.0,0.0
3,SNORD115-6,0.0,0.0,0.0,0.0
4,MMD,0.0,0.0,0.0,0.0
5,FAM104B,0.0,0.0,0.0,0.0
6,IL13RA2,0.0,0.0,0.0,0.0
7,SNORD116-27,0.0,0.0,0.0,0.0
8,SNORD115-31,0.0,0.0,0.0,0.0
9,SNORD115-42,0.0,0.0,0.0,0.0
10,SNORD115-30,0.0,0.0,0.0,0.0
11,SNORD115-10,0.0,0.0,0.0,0.0
12,SNORD115-7,0.0,0.0,0.0,0.0
13,SNORD115-6,0.0,0.0,0.0,0.0
14,SNORA19,0.0,0.0,0.0,0.0
15,C11orf70,0.0,0.0,0.0,0.0
16,ZNF578,0.0,0.0,0.0,0.0
17,SNORD115-40,0.0,0.0,0.0,0.0
18,KCTD4,0.0,0.0,0.0,0.0
19,HTR2C,0.0,0.0,0.0,0.0
20,SEMA3D,0.0,0.0,0.0,0.0
21,GLRA2,0.0,0.0,0.0,0.0
22,RAB3B,0.0,0.0,0.0,0.0
23,PDYN,0.0,0.0,0.0,0.0
24,ROS1,0.0,0.0,0.0,0.0
25,LRIG3,0.0,0.0,0.0,0.0
26,SLC34A2,0.0,0.0,0.0,0.0
27,ROS1,0.0,0.0,0.0,0.0
28,GABRQ,0.0,0.0,0.0,0.0
29,GSTM1,0.0,0.0,0.0,0.0
30,PVALB,0.0,0.0,0.0,0.0
