node_0.15,node_0.4,node_0.7,node_0.9
SLC34A2,SLC34A2,SLC34A2,SNORD115-42
GLRA2,LRIG3,LRIG3,ZNF578
HTR2C,ROS1,ROS1,GSTM1
PVALB,ROS1,ROS1,GABRQ
PDYN,PDYN,SNORD115-42,ROS1
LRIG3,PVALB,ZNF578,SLC34A2
ROS1,HTR2C,GSTM1,LRIG3
ROS1,ZNF578,GABRQ,ROS1
GABRQ,GSTM1,PDYN,PDYN
KCTD4,GABRQ,RAB3B,RAB3B
IL13RA2,RAB3B,GLRA2,GLRA2
RAB3B,GLRA2,SEMA3D,SEMA3D
GSTM1,SEMA3D,HTR2C,HTR2C
ZNF578,KCTD4,KCTD4,KCTD4
SEMA3D,SNORD115-40,SNORD115-40,SNORD115-40
SNORD115-40,SNORD115-42,C11orf70,C11orf70
SNORD115-42,SNORD115-40,SNORD115-40,SNORD115-40
SNORD115-40,SNORA19,SNORA19,SNORA19
SNORA19,SNORD115-6,SNORD115-6,SNORD115-6
SNORD115-6,SNORD115-7,SNORD115-7,SNORD115-7
SNORD115-7,SNORD115-10,SNORD115-10,SNORD115-10
SNORD115-10,SNORD115-30,SNORD115-30,SNORD115-30
SNORD115-30,SNORD115-42,SNORD115-42,SNORD115-42
SNORD115-42,SNORD115-31,SNORD115-31,SNORD115-31
SNORD115-31,SNORD116-27,SNORD116-27,SNORD116-27
