#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HTR2C	PDYN	9606.ENSP00000276198	9606.ENSP00000440185	0	0	0	0	0.190	0	0	0.348	0.449
LRIG3	ROS1	9606.ENSP00000326759	9606.ENSP00000357494	0	0	0	0	0	0.100	0	0.724	0.740
LRIG3	SLC34A2	9606.ENSP00000326759	9606.ENSP00000371483	0	0	0	0	0	0.052	0	0.742	0.745
PDYN	PVALB	9606.ENSP00000440185	9606.ENSP00000216200	0	0	0	0	0.118	0	0	0.570	0.604
ROS1	SLC34A2	9606.ENSP00000357494	9606.ENSP00000371483	0	0	0	0	0.112	0.108	0	0.815	0.841
