,node,lap_barcode_0.15,lap_lamda_0.15,lap_sum_0.15,lap_sum_norm_0.15
0,SNORD115-42,0.0,0.0,0.0,0.0
1,SNORD115-40,0.0,0.0,0.0,0.0
2,SNORD115-21,0.0,0.0,0.0,0.0
3,SNORD115-6,0.0,0.0,0.0,0.0
4,MMD,0.0,0.0,0.0,0.0
5,FAM104B,0.0,0.0,0.0,0.0
6,IL13RA2,1.0,2.003603689130135,2.239291794986953,0.6077359292106876
7,SNORD116-27,0.0,0.0,0.0,0.0
8,SNORD115-31,0.0,0.0,0.0,0.0
9,SNORD115-42,0.0,0.0,0.0,0.0
10,SNORD115-30,0.0,0.0,0.0,0.0
11,SNORD115-10,0.0,0.0,0.0,0.0
12,SNORD115-7,0.0,0.0,0.0,0.0
13,SNORD115-6,0.0,0.0,0.0,0.0
14,SNORA19,0.0,0.0,0.0,0.0
15,C11orf70,0.0,0.0,0.0,0.0
16,ZNF578,0.0,0.0,0.0,0.0
17,SNORD115-40,0.0,0.0,0.0,0.0
18,KCTD4,1.0,4.412241050847575,4.52414313332199,0.8007082682332807
19,HTR2C,1.7320508075688772,9.728851551190361,9.881829410847928,1.554041208994922
20,SEMA3D,0.0,0.0,0.0,0.0
21,GLRA2,2.23606797749979,7.958360679845416,8.266529181616042,1.6375984610984222
22,RAB3B,1.0,2.003603689130135,2.239291794986953,0.6077359292106876
23,PDYN,2.0,7.006132068475084,7.286006214718387,1.455736134489367
24,ROS1,1.0,9.379119108995726,9.432278370612734,1.1986386880443485
25,LRIG3,1.0,10.506132325050288,10.553616272703238,1.28893139041128
26,SLC34A2,2.23606797749979,12.48177523222869,12.680485517040646,2.0
27,ROS1,1.0,9.379119108995722,9.432278370612728,1.1986386880443483
28,GABRQ,1.0,4.488884366816895,4.598921923522198,0.8068486861260354
29,GSTM1,1.0,1.867840271604524,2.118685271631363,0.5968589974441981
30,PVALB,1.4142135623730951,11.229518464600611,11.318219159691425,1.5321287159895385
