node_0.4
IL1B
IFNG
CXCL8
CDH1
CD19
TYROBP
CAV1
CD68
PDGFRB
C1QB
IRF4
NTRK1
FGF6
CCR2
CRH
XRCC6
KAT2B
DDB1
EIF1AY
RPL17
LAG3
FLG2
CXCR2
CFH
PSMC4
