node_0.9
IL1B
CXCL8
UGT1A6
UGT1A8
UGT1A10
UGT1A4
UGT1A1
UGT1A9
MRPL13
MRPL21
CDH1
CFB
DUOX2
TNFRSF1B
RPL17-C18orf32
RPL17
OCLN
SDHAF3
COX6A2
CDH5
MRPL15
ENO2
IFNG
NUP93
POM121
