,node,lap_barcode_0.9,lap_lamda_0.9,lap_sum_0.9,lap_sum_norm_0.9
0,TGFB1I1,0.0,0.0,0.0,0.0
1,DEFB125,0.0,0.0,0.0,0.0
2,ULBP2,0.0,0.0,0.0,0.0
3,SART1,0.0,0.0,0.0,0.0
4,LIN28B,0.0,0.0,0.0,0.0
5,PRKAG2-AS1,0.0,0.0,0.0,0.0
6,SERTM1,0.0,0.0,0.0,0.0
7,ZFP41,0.0,0.0,0.0,0.0
8,FAM71E2,0.0,0.0,0.0,0.0
9,NMUR2,0.0,0.0,0.0,0.0
10,LOC643549,0.0,0.0,0.0,0.0
11,FLJ45513,0.0,0.0,0.0,0.0
12,TAC4,0.0,0.0,0.0,0.0
13,SVOP,0.0,0.0,0.0,0.0
14,OCLN,1.0,8.285059332684577,8.345190719576383,0.6555814263288563
15,NEFM,0.0,0.0,0.0,0.0
16,ZXDA,0.0,0.0,0.0,0.0
17,LINC00842,0.0,0.0,0.0,0.0
18,TIPARP-AS1,0.0,0.0,0.0,0.0
19,OFD1,0.0,0.0,0.0,0.0
20,SELPLG,0.0,0.0,0.0,0.0
21,CNN2,0.0,0.0,0.0,0.0
22,FGF6,0.0,0.0,0.0,0.0
23,PPP1R32,0.0,0.0,0.0,0.0
24,GAP43,0.0,0.0,0.0,0.0
25,MFAP4,0.0,0.0,0.0,0.0
26,ENO2,1.4142135623730951,4.1051909294729585,4.341957227728879,0.590047879375811
27,MCCC1,0.0,0.0,0.0,0.0
28,LOC101930655,0.0,0.0,0.0,0.0
29,C7orf73,0.0,0.0,0.0,0.0
30,SLC13A4,0.0,0.0,0.0,0.0
31,FXYD7,0.0,0.0,0.0,0.0
32,SDHAF1,1.0,1.8019601941449181,2.0608397660378137,0.3684754723036605
33,CSPG4,0.0,0.0,0.0,0.0
34,BEX5,0.0,0.0,0.0,0.0
35,LOC441081,0.0,0.0,0.0,0.0
36,TRPM2-AS,0.0,0.0,0.0,0.0
37,BOK,0.0,0.0,0.0,0.0
38,PCA3,0.0,0.0,0.0,0.0
39,NKIRAS2,0.0,0.0,0.0,0.0
40,LOC101927346,0.0,0.0,0.0,0.0
41,LOC100130476,0.0,0.0,0.0,0.0
42,GDPD2,0.0,0.0,0.0,0.0
43,LOC100507165,0.0,0.0,0.0,0.0
44,EBLN2,0.0,0.0,0.0,0.0
45,SLC41A3,0.0,0.0,0.0,0.0
46,ARL8B,0.0,0.0,0.0,0.0
47,TEF,0.0,0.0,0.0,0.0
48,TFF3,0.0,0.0,0.0,0.0
49,LOC102725116,0.0,0.0,0.0,0.0
50,EFNB1,0.0,0.0,0.0,0.0
51,SLITRK4,0.0,0.0,0.0,0.0
52,NSUN5P1,0.0,0.0,0.0,0.0
53,GBX1,0.0,0.0,0.0,0.0
54,ARHGEF17,0.0,0.0,0.0,0.0
55,ZNF711,0.0,0.0,0.0,0.0
56,HCAR3,0.0,0.0,0.0,0.0
57,THBS4,0.0,0.0,0.0,0.0
58,LOC101929109,0.0,0.0,0.0,0.0
59,ABCG8,0.0,0.0,0.0,0.0
60,ALX1,0.0,0.0,0.0,0.0
61,LINC00582,0.0,0.0,0.0,0.0
62,ACR,0.0,0.0,0.0,0.0
63,MRPL21,1.4142135623730951,13.31432336092663,13.389219789043596,0.9978770203431735
64,LOC101927157,0.0,0.0,0.0,0.0
65,SPRY2,0.0,0.0,0.0,0.0
66,FHOD3,0.0,0.0,0.0,0.0
67,ABHD14A-ACY1,1.0,2.000038374997754,2.2361023012070933,0.3772474228584902
68,ACY1,1.0,2.000038374997754,2.2361023012070933,0.3772474228584902
69,LOC389895,0.0,0.0,0.0,0.0
70,PCDH11Y,0.0,0.0,0.0,0.0
71,PCDH11X,0.0,0.0,0.0,0.0
72,NAG18,0.0,0.0,0.0,0.0
73,FAM229A,0.0,0.0,0.0,0.0
74,IP6K3,1.0,2.236246187378105,2.449652426480767,0.38770795537117686
75,SESN2,0.0,0.0,0.0,0.0
76,ASAH2B,0.0,0.0,0.0,0.0
77,HIST1H4D,0.0,0.0,0.0,0.0
78,NPTX2,0.0,0.0,0.0,0.0
79,DSG1,1.0,5.001281850233534,5.100276477356434,0.5101583737488012
80,TRAF1,1.0,4.980991360322685,5.080381376590662,0.5092598034294208
81,BHLHE40,0.0,0.0,0.0,0.0
82,TYROBP,1.0,3.0003012273441403,3.162563430953244,0.42154435775983756
83,LOC105375527,0.0,0.0,0.0,0.0
84,HLA-DMB,0.0,0.0,0.0,0.0
85,DYNC1I1,1.0,3.873446921587066,4.000448856610009,0.46021187189029017
86,FAM19A1,0.0,0.0,0.0,0.0
87,LINC01535,0.0,0.0,0.0,0.0
88,TMEM88,0.0,0.0,0.0,0.0
89,CAV1,0.0,0.0,0.0,0.0
90,FAM60A,0.0,0.0,0.0,0.0
91,NTRK1,0.0,0.0,0.0,0.0
92,SNORA71B,0.0,0.0,0.0,0.0
93,BEX2,0.0,0.0,0.0,0.0
94,DCLRE1B,0.0,0.0,0.0,0.0
95,RPL39L,1.0,5.606874490924173,5.695352627974513,0.5369772221329844
96,IGFBP4,0.0,0.0,0.0,0.0
97,CYP20A1,0.0,0.0,0.0,0.0
98,MEF2C-AS1,0.0,0.0,0.0,0.0
99,LOC497256,0.0,0.0,0.0,0.0
100,FAM196A,0.0,0.0,0.0,0.0
101,LOC283038,0.0,0.0,0.0,0.0
102,FCAMR,0.0,0.0,0.0,0.0
103,LOC440028,0.0,0.0,0.0,0.0
104,SERPINB5,0.0,0.0,0.0,0.0
105,DPCD,0.0,0.0,0.0,0.0
106,IL1B,3.4641016151377544,16.61405716430363,16.97135514503037,1.735758412829237
107,CENPA,1.0,3.7421958392110852,3.8735035431775144,0.4543993790659272
108,MMP20,0.0,0.0,0.0,0.0
109,EPHX2,0.0,0.0,0.0,0.0
110,LOC401176,0.0,0.0,0.0,0.0
111,CARTPT,0.0,0.0,0.0,0.0
112,ALPK2,0.0,0.0,0.0,0.0
113,SDHAF4,1.0,4.4328381963175705,4.54423310083583,0.48498467918088617
114,HEXA-AS1,0.0,0.0,0.0,0.0
115,SNORD89,0.0,0.0,0.0,0.0
116,CDKAL1,0.0,0.0,0.0,0.0
117,LOC400768,0.0,0.0,0.0,0.0
118,CAPN15,0.0,0.0,0.0,0.0
119,DOK7,0.0,0.0,0.0,0.0
120,C11orf74,0.0,0.0,0.0,0.0
121,DDB1,0.0,0.0,0.0,0.0
122,LOC101928002,0.0,0.0,0.0,0.0
123,LOC105373383,0.0,0.0,0.0,0.0
124,LRRC71,0.0,0.0,0.0,0.0
125,PRKAG3,0.0,0.0,0.0,0.0
126,ATXN3L,0.0,0.0,0.0,0.0
127,INPP5F,1.4142135623730951,3.442603820972298,3.721763166588259,0.560705014205045
128,PIGU,0.0,0.0,0.0,0.0
129,DEFA6,0.0,0.0,0.0,0.0
130,GAS1,0.0,0.0,0.0,0.0
131,LOC101928524,0.0,0.0,0.0,0.0
132,PRPF18,0.0,0.0,0.0,0.0
133,GORASP1,0.0,0.0,0.0,0.0
134,PDZK1,0.0,0.0,0.0,0.0
135,EFCAB7,0.0,0.0,0.0,0.0
136,PEX11G,0.0,0.0,0.0,0.0
137,SAMD12,0.0,0.0,0.0,0.0
138,NT5M,1.0,3.742195839211093,3.8735035431775215,0.45439937906592753
139,C1QB,0.0,0.0,0.0,0.0
140,SEMA5B,0.0,0.0,0.0,0.0
141,LOC102724387,0.0,0.0,0.0,0.0
142,FRY-AS1,0.0,0.0,0.0,0.0
143,CAP2,0.0,0.0,0.0,0.0
144,TMEM101,0.0,0.0,0.0,0.0
145,KCNG1,0.0,0.0,0.0,0.0
146,TEX261,0.0,0.0,0.0,0.0
147,SIGLEC16,0.0,0.0,0.0,0.0
148,IFNA21,0.0,0.0,0.0,0.0
149,SNORA68,0.0,0.0,0.0,0.0
150,LRRC70,0.0,0.0,0.0,0.0
151,IPO11,0.0,0.0,0.0,0.0
152,SNUPN,0.0,0.0,0.0,0.0
153,FHDC1,0.0,0.0,0.0,0.0
154,LOC101928963,0.0,0.0,0.0,0.0
155,LOC100127955,0.0,0.0,0.0,0.0
156,KLHL17,0.0,0.0,0.0,0.0
157,AKR1E2,0.0,0.0,0.0,0.0
158,HPS5,0.0,0.0,0.0,0.0
159,PAQR4,0.0,0.0,0.0,0.0
160,CACNA1B,0.0,0.0,0.0,0.0
161,FAM222A-AS1,0.0,0.0,0.0,0.0
162,MIR7110,0.0,0.0,0.0,0.0
163,PDIA5,0.0,0.0,0.0,0.0
164,GSDMD,1.0,2.832947585705158,3.004262309345288,0.4141330524696375
165,PRH1-PRR4,0.0,0.0,0.0,0.0
166,PRH2,1.0,2.000038374997754,2.2361023012070933,0.3772474228584902
167,PRH1,1.0,2.000038374997754,2.2361023012070933,0.3772474228584902
168,FCER2,0.0,0.0,0.0,0.0
169,C1orf50,0.0,0.0,0.0,0.0
170,LINC01465,0.0,0.0,0.0,0.0
171,ELMOD3,0.0,0.0,0.0,0.0
172,GSKIP,0.0,0.0,0.0,0.0
173,LRRC8E,0.0,0.0,0.0,0.0
174,FKBP6,0.0,0.0,0.0,0.0
175,RFPL2,0.0,0.0,0.0,0.0
176,HERC2P9,0.0,0.0,0.0,0.0
177,HERC2P2,0.0,0.0,0.0,0.0
178,EIF1AY,1.0,5.001281850233536,5.100276477356436,0.5101583737488014
179,GIF,0.0,0.0,0.0,0.0
180,FOLR2,0.0,0.0,0.0,0.0
181,MIR3671,0.0,0.0,0.0,0.0
182,MIR101-1,0.0,0.0,0.0,0.0
183,OLFM3,0.0,0.0,0.0,0.0
184,MVB12A,0.0,0.0,0.0,0.0
185,MRPL15,1.0,7.378339925087966,7.445797475767595,0.6154270904181727
186,FANCB,0.0,0.0,0.0,0.0
187,LOC100506274,0.0,0.0,0.0,0.0
188,RAB3B,0.0,0.0,0.0,0.0
189,NOMO3,0.0,0.0,0.0,0.0
190,TSPAN1,0.0,0.0,0.0,0.0
191,CDH5,1.0,7.529819476925616,7.595931895105982,0.6221354069680649
192,LOC101930243,0.0,0.0,0.0,0.0
193,LOC101929865,0.0,0.0,0.0,0.0
194,PMAIP1,0.0,0.0,0.0,0.0
195,PPFIBP2,0.0,0.0,0.0,0.0
196,CFP,1.0,4.618143639589368,4.725172026062092,0.4931909852915459
197,NUP93,1.0,6.2455544789378,6.325104801454282,0.5652613534345392
198,FER1L4,0.0,0.0,0.0,0.0
199,MATN1-AS1,0.0,0.0,0.0,0.0
200,MALT1,0.0,0.0,0.0,0.0
201,KRT33A,0.0,0.0,0.0,0.0
202,PALM,0.0,0.0,0.0,0.0
203,LINC00115,0.0,0.0,0.0,0.0
204,LOC644656,0.0,0.0,0.0,0.0
205,CCDC177,0.0,0.0,0.0,0.0
206,NXPH3,0.0,0.0,0.0,0.0
207,PVT1,0.0,0.0,0.0,0.0
208,LYG1,0.0,0.0,0.0,0.0
209,MICAL1,0.0,0.0,0.0,0.0
210,PLK5,0.0,0.0,0.0,0.0
211,PENK,0.0,0.0,0.0,0.0
212,FOSB,0.0,0.0,0.0,0.0
213,PTGFR,0.0,0.0,0.0,0.0
214,SLC27A4,0.0,0.0,0.0,0.0
215,LOC101929748,0.0,0.0,0.0,0.0
216,F5,0.0,0.0,0.0,0.0
217,TTTY15,0.0,0.0,0.0,0.0
218,PRCAT47,0.0,0.0,0.0,0.0
219,NPB,0.0,0.0,0.0,0.0
220,LINC01114,0.0,0.0,0.0,0.0
221,TSPOAP1,0.0,0.0,0.0,0.0
222,OGN,0.0,0.0,0.0,0.0
223,CALCB,0.0,0.0,0.0,0.0
224,LOC105378568,0.0,0.0,0.0,0.0
225,CCDC9,0.0,0.0,0.0,0.0
226,F12,0.0,0.0,0.0,0.0
227,PCSK1,0.0,0.0,0.0,0.0
228,LINC00961,0.0,0.0,0.0,0.0
229,LOC100129449,0.0,0.0,0.0,0.0
230,MIR663AHG,0.0,0.0,0.0,0.0
231,ZNF561-AS1,0.0,0.0,0.0,0.0
232,POP1,0.0,0.0,0.0,0.0
233,SLAMF8,0.0,0.0,0.0,0.0
234,BABAM1,0.0,0.0,0.0,0.0
235,LOC100506406,0.0,0.0,0.0,0.0
236,TAS2R45,0.0,0.0,0.0,0.0
237,TAS2R43,0.0,0.0,0.0,0.0
238,EBF1,0.0,0.0,0.0,0.0
239,PRAME,0.0,0.0,0.0,0.0
240,RMDN3,0.0,0.0,0.0,0.0
241,LINC00710,0.0,0.0,0.0,0.0
242,SERPINA3,0.0,0.0,0.0,0.0
243,RAI14,0.0,0.0,0.0,0.0
244,TMEM143,0.0,0.0,0.0,0.0
245,FAM198A,0.0,0.0,0.0,0.0
246,MGC15885,0.0,0.0,0.0,0.0
247,PLA2G2A,0.0,0.0,0.0,0.0
248,ZNF204P,0.0,0.0,0.0,0.0
249,CD200,0.0,0.0,0.0,0.0
250,IL1R1,1.0,4.555054264933074,4.663530782195502,0.4903970537608878
251,DOK5,0.0,0.0,0.0,0.0
252,B4GALT3,0.0,0.0,0.0,0.0
253,ST3GAL4,0.0,0.0,0.0,0.0
254,LGR5,0.0,0.0,0.0,0.0
255,URGCP,0.0,0.0,0.0,0.0
256,CACNA2D3,0.0,0.0,0.0,0.0
257,POLR2J2,0.0,0.0,0.0,0.0
