node_0.15,node_0.4,node_0.7,node_0.9
IL1B,IL1B,IL1B,IL1B
NSF,IFNG,CXCL8,CXCL8
CDH1,CXCL8,IFNG,UGT1A6
CENPA,CDH1,CD19,UGT1A8
IFNG,CD19,MRPL21,UGT1A10
NTRK1,TYROBP,TYROBP,UGT1A4
CNN2,CAV1,EIF1AY,UGT1A1
F12,CD68,CENPA,UGT1A9
ENO2,PDGFRB,CXCR2,MRPL13
SPAG5,C1QB,UGT1A9,MRPL21
MYH9,IRF4,UGT1A6,CDH1
CXCL8,NTRK1,UGT1A1,CFB
CAV1,FGF6,UGT1A10,DUOX2
PSMC4,CCR2,UGT1A4,TNFRSF1B
PLK5,CRH,UGT1A8,RPL17-C18orf32
MAP2K1,XRCC6,FGF6,RPL17
AQP3,KAT2B,CRH,OCLN
SFN,DDB1,CFB,SDHAF3
CTPS2,EIF1AY,ENO2,COX6A2
EIF1AY,RPL17,NTRK1,CDH5
PGK2,LAG3,MRPL13,MRPL15
GRB14,FLG2,TPX2,ENO2
CD19,CXCR2,CDH1,IFNG
THBS4,CFH,PDGFRB,NUP93
DEFB125,PSMC4,DUOX2,POM121
