node_0.7
IL1B
CXCL8
IFNG
CD19
MRPL21
TYROBP
EIF1AY
CENPA
CXCR2
UGT1A9
UGT1A6
UGT1A1
UGT1A10
UGT1A4
UGT1A8
FGF6
CRH
CFB
ENO2
NTRK1
MRPL13
TPX2
CDH1
PDGFRB
DUOX2
