,Gene
0,ABCG8
1,SLC27A4
2,EPHX2
3,FXYD2
4,PLTP
5,CYP7A1
6,ACAD9
7,ACSS2
8,MCCC1
9,CARTPT
10,ECI1
11,AIFM3
12,ACR
13,PRM1
14,TNP1
15,SETD1A
16,KAT2B
17,TALDO1
18,AIPL1
19,ARR3
20,AIRE
21,IFNG
22,CD19
23,DDC
24,NUP93
25,AKR1E2
26,DUOX2
27,ALX1
28,TBX15
29,ALX4
30,ANKRD39
31,ASB16
32,PPP1R32
33,ASB13
34,BABAM1
35,ANXA3
36,SAPCD1
37,S100A16
38,AQP3
39,CDH1
40,IL1B
41,OCLN
42,FLG2
43,ARHGAP11B
44,SPAG5
45,ARHGEF17
46,RASL12
47,ARHGEF4
48,CABP5
49,RGS1
50,POU4F1
51,MGRN1
52,COMMD8
53,LRRC20
54,POTEM
55,ASNS
56,SESN2
57,CTPS2
58,ATF6B
59,TNXB
60,ATP6V0B
61,COX6A2
62,MRPL13
63,MRPL21
64,RPL17
65,RPL17-C18orf32
66,ATXN3L
67,JOSD2
68,B4GALT3
69,OGN
70,XRCC6
71,BHLHE40
72,FOSB
73,CIART
74,TIPIN
75,TEF
76,BOK
77,PMAIP1
78,C10orf71
79,ITGB3BP
80,C1QB
81,CFP
82,CD68
83,TYROBP
84,SLAMF8
85,FOLR2
86,CFH
87,HLA-DMB
88,CFB
89,TREML1
90,CACNA1B
91,CAV1
92,TRPV2
93,RASGRP3
94,CACNA2D3
95,CALCB
96,CRH
97,CAPN15
98,PRDM9
99,EFCAB7
100,SLC17A6
101,PENK
102,PCSK1
103,MYH9
104,PDGFRB
105,CXCL8
106,NEDD4
107,TBX4
108,PTGFR
109,CDH5
110,NTRK1
111,CCR2
112,LAG3
113,SELPLG
114,CD180
115,GPSM3
116,IRF4
117,IL1R1
118,TNFRSF1B
119,DEFB106B
120,CCR9
121,CXCR2
122,HTR1B
123,NOX3
124,FCER2
125,INSM2
126,CSPG4
127,TSPAN1
128,ULBP2
129,CD8B
130,SLAMF7
131,CD200
132,IGLL1
133,EBF1
134,TCL1A
135,TRAF1
136,CD300LF
137,MS4A14
138,SERPINA3
139,ENO2
140,EFNB1
141,FGF6
142,TFF3
143,TRIOBP
144,SERPINB5
145,RUNX3
146,MAP2K1
147,LGR5
148,SFN
149,FXYD5
150,CDKAL1
151,SHBG
152,CENPA
153,KIF22
154,NEIL3
155,TPX2
156,DDB1
157,KIF15
158,SPC24
159,LRG1
160,F12
161,COL6A2
162,F5
163,FKBP6
164,CHST14
165,EXTL2
166,CMC1
167,COA6
168,CNN2
169,CNTD1
170,MSH5
171,SUN1
172,COX6B2
173,NID2
174,TGFB1I1
175,MFAP4
176,THBS4
177,UBE2M
178,HTR2C
179,HSD11B2
180,SI
181,GRIP1
182,EGFL6
183,NMUR2
184,PSMA8
185,IFNA21
186,UGT1A10
187,NPB
188,PLA2G2A
189,IL32
190,CYP20A1
191,CYP27B1
192,INSIG2
193,UGT1A8
194,UGT1A4
195,UGT1A6
196,UGT1A1
197,DCLRE1B
198,ZNF367
199,ZNF276
200,FANCB
201,PRH2
202,PRH1
203,IP6K1
204,DEFA6
205,DEFB106A
206,DEFB125
207,DMBT1
208,DSC1
209,DSG1
210,SPRR2B
211,KRT2
212,KRT16
213,DUOXA2
214,DYNC1I1
215,GORASP1
216,DYNLRB2
217,VLDLR
218,EIF1AY
219,MRPL15
220,EIF3C
221,USP9Y
222,PCDH11X
223,PCDH11Y
224,PSMC4
225,TRUB2
226,NEFM
227,PGK2
228,GAP43
229,PRKAG3
230,HS3ST2
231,NSF
232,FAM47E
233,FAM71E2
234,FBXW10
235,FCAMR
236,FES
237,SPRY2
238,SYCE2
239,SLC41A3
240,FXYD7
241,FXYD6-FXYD2
242,GDPD2
243,PLCD4
244,GGTLC2
245,POM121
246,GJB6
247,TAS2R43
248,HCAR3
249,GRB14
250,PPFIBP2
251,GSDMD
252,HOXA11
253,HOXA2
254,HOXC13
255,KRT31
256,MAGEL2
257,IL22RA2
258,MALT1
259,PELI3
260,INPP5F
261,MTMR4
262,INPP5J
263,IP6K3
264,IPO11
265,LRRC70
266,USP4
267,MAGEA10
268,TFF1
269,KCNG1
270,KCNS3
271,KLHL17
272,PDZK1
273,TDP2
274,SYNGAP1
275,KRT33A
276,KRT40
277,KRT3
278,KRTAP4-11
279,KRTAP4-6
280,LFNG
281,LRRC8E
282,LRRC71
283,PRAME
284,SLC39A1
285,MAPK15
286,SLC2A13
287,PRB1
288,RPL39L
289,MSC
290,PITX2
291,TPRN
292,NOMO3
293,NPTX2
294,SLITRK4
295,SNUPN
296,POM121C
297,ST3GAL4
298,OLFM3
299,PAX4
300,PRKX
301,SLC22A4
302,TIFAB
303,PRPF18
304,SART1
305,SLC13A4
306,RAI14
307,SNRNP35
308,SERTM1
309,SHPRH
310,SRPX2
311,UBASH3A
312,UGT1A9
