,node1,node2
0,ABCG8,SLC27A4
1,ABCG8,EPHX2
2,ABCG8,FXYD2
3,ABCG8,PLTP
4,ABCG8,CYP7A1
5,SLC27A4,CAV1
6,EPHX2,ACAD9
7,EPHX2,AQP3
8,EPHX2,PRKAG3
9,FXYD2,SLC41A3
10,FXYD2,SHBG
11,FXYD2,FXYD5
12,PLTP,CYP7A1
13,PLTP,VLDLR
14,CYP7A1,CYP20A1
15,CYP7A1,FGF6
16,CYP7A1,INSIG2
17,CYP7A1,IL1B
18,CYP7A1,PLA2G2A
19,CYP7A1,UGT1A8
20,CYP7A1,UGT1A4
21,CYP7A1,UGT1A10
22,CYP7A1,UGT1A6
23,CYP7A1,UGT1A1
24,ACAD9,ACSS2
25,ACAD9,MCCC1
26,ACAD9,CARTPT
27,ACAD9,ECI1
28,ACAD9,AIFM3
29,ACSS2,SETD1A
30,ACSS2,KAT2B
31,ACSS2,CARTPT
32,ACSS2,ECI1
33,ACSS2,TALDO1
34,MCCC1,ECI1
35,MCCC1,FAM47E
36,CARTPT,SLC17A6
37,CARTPT,CRH
38,CARTPT,PENK
39,CARTPT,PCSK1
40,CARTPT,ECI1
41,ECI1,MRPL21
42,ACR,PRM1
43,ACR,TNP1
44,PRM1,TNP1
45,TNP1,PGK2
46,SETD1A,CENPA
47,SETD1A,KAT2B
48,SETD1A,PRDM9
49,KAT2B,ATXN3L
50,KAT2B,CENPA
51,KAT2B,DDB1
52,KAT2B,MAGEA10
53,KAT2B,TFF1
54,KAT2B,RUNX3
55,KAT2B,XRCC6
56,TALDO1,ENO2
57,TALDO1,PGK2
58,TALDO1,SPC24
59,AIPL1,ARR3
60,ARR3,CABP5
61,ARR3,RGS1
62,ARR3,POU4F1
63,AIRE,IFNG
64,AIRE,CD19
65,AIRE,DDC
66,AIRE,NUP93
67,IFNG,CAV1
68,IFNG,CCR2
69,IFNG,CCR9
70,IFNG,CD19
71,IFNG,CD200
72,IFNG,CD68
73,IFNG,CD8B
74,IFNG,CDH1
75,IFNG,CDH5
76,IFNG,CFH
77,IFNG,CXCL8
78,IFNG,CXCR2
79,IFNG,CYP27B1
80,IFNG,FCER2
81,IFNG,FGF6
82,IFNG,FLG2
83,IFNG,GSDMD
84,IFNG,HLA-DMB
85,IFNG,IFNA21
86,IFNG,LAG3
87,IFNG,SELPLG
88,IFNG,SERPINB5
89,IFNG,TRAF1
90,IFNG,MAP2K1
91,IFNG,MRPL13
92,IFNG,ULBP2
93,IFNG,RUNX3
94,IFNG,TYROBP
95,IFNG,SLAMF7
96,IFNG,IL32
97,IFNG,IRF4
98,IFNG,OCLN
99,IFNG,IL1R1
100,IFNG,IL22RA2
101,IFNG,PDGFRB
102,IFNG,TNFRSF1B
103,IFNG,IL1B
104,CD19,CCR2
105,CD19,CCR9
106,CD19,CD180
107,CD19,LAG3
108,CD19,CD68
109,CD19,CDH1
110,CD19,TYROBP
111,CD19,IL1B
112,CD19,FCER2
113,CD19,CXCL8
114,CD19,INSM2
115,CD19,CSPG4
116,CD19,IL1R1
117,CD19,CXCR2
118,CD19,TSPAN1
119,CD19,ULBP2
120,CD19,CD8B
121,CD19,SLAMF7
122,CD19,IRF4
123,CD19,CD200
124,CD19,IGLL1
125,CD19,EBF1
126,CD19,TCL1A
127,DDC,SLC17A6
128,DDC,HTR1B
129,NUP93,SNUPN
130,NUP93,POM121C
131,NUP93,POM121
132,AKR1E2,DUOX2
133,DUOX2,NOX3
134,DUOX2,IL1B
135,DUOX2,DUOXA2
136,ALX1,TBX15
137,ALX1,ALX4
138,TBX15,HOXC13
139,ANKRD39,ASB16
140,ANKRD39,PPP1R32
141,ANKRD39,ASB13
142,ANKRD39,BABAM1
143,ASB16,LRRC20
144,ASB16,POTEM
145,ASB16,COMMD8
146,ASB13,MGRN1
147,ASB13,COMMD8
148,BABAM1,XRCC6
149,ANXA3,SAPCD1
150,ANXA3,S100A16
151,SAPCD1,CDH1
152,SAPCD1,MSH5
153,AQP3,CDH1
154,AQP3,IL1B
155,AQP3,OCLN
156,AQP3,FLG2
157,CDH1,ARHGEF17
158,CDH1,ARHGEF4
159,CDH1,CAV1
160,CDH1,CD300LF
161,CDH1,CD68
162,CDH1,EFNB1
163,CDH1,SELPLG
164,CDH1,FGF6
165,CDH1,TFF3
166,CDH1,TRIOBP
167,CDH1,SERPINB5
168,CDH1,SERPINA3
169,CDH1,NTRK1
170,CDH1,PDGFRB
171,CDH1,RUNX3
172,CDH1,MAP2K1
173,CDH1,LGR5
174,CDH1,SFN
175,CDH1,CXCL8
176,CDH1,IL1B
