,node,lap_barcode_0.7,lap_lamda_0.7,lap_sum_0.7,lap_sum_norm_0.7
0,TGFB1I1,0.0,0.0,0.0,0.0
1,DEFB125,0.0,0.0,0.0,0.0
2,ULBP2,0.0,0.0,0.0,0.0
3,SART1,1.0,4.4722554438556035,4.582692304213331,0.36595040472804263
4,LIN28B,0.0,0.0,0.0,0.0
5,PRKAG2-AS1,0.0,0.0,0.0,0.0
6,SERTM1,0.0,0.0,0.0,0.0
7,ZFP41,0.0,0.0,0.0,0.0
8,FAM71E2,0.0,0.0,0.0,0.0
9,NMUR2,0.0,0.0,0.0,0.0
10,LOC643549,0.0,0.0,0.0,0.0
11,FLJ45513,0.0,0.0,0.0,0.0
12,TAC4,0.0,0.0,0.0,0.0
13,SVOP,0.0,0.0,0.0,0.0
14,OCLN,1.0,14.985239946818877,15.018569048472504,0.6385164115944406
15,NEFM,0.0,0.0,0.0,0.0
16,ZXDA,0.0,0.0,0.0,0.0
17,LINC00842,0.0,0.0,0.0,0.0
18,TIPARP-AS1,0.0,0.0,0.0,0.0
19,OFD1,0.0,0.0,0.0,0.0
20,SELPLG,1.0,6.975620162991749,7.046933848017663,0.430854155421562
21,CNN2,0.0,0.0,0.0,0.0
22,FGF6,2.23606797749979,9.968234001406836,10.215952677396432,0.8174594696309017
23,PPP1R32,0.0,0.0,0.0,0.0
24,GAP43,1.0,3.1159651434616227,3.2724973300627482,0.3307864005172675
25,MFAP4,0.0,0.0,0.0,0.0
26,ENO2,2.23606797749979,9.219764721582669,9.48704703906017,0.7980542015258895
27,MCCC1,0.0,0.0,0.0,0.0
28,LOC101930655,0.0,0.0,0.0,0.0
29,C7orf73,0.0,0.0,0.0,0.0
30,SLC13A4,0.0,0.0,0.0,0.0
31,FXYD7,0.0,0.0,0.0,0.0
32,SDHAF1,1.0,7.511206600139821,7.577481414690768,0.4447400939449283
33,CSPG4,1.4142135623730951,6.417879989088127,6.571847803649885,0.5199472362876569
34,BEX5,0.0,0.0,0.0,0.0
35,LOC441081,0.0,0.0,0.0,0.0
36,TRPM2-AS,0.0,0.0,0.0,0.0
37,BOK,0.0,0.0,0.0,0.0
38,PCA3,0.0,0.0,0.0,0.0
39,NKIRAS2,0.0,0.0,0.0,0.0
40,LOC101927346,0.0,0.0,0.0,0.0
41,LOC100130476,0.0,0.0,0.0,0.0
42,GDPD2,0.0,0.0,0.0,0.0
43,LOC100507165,0.0,0.0,0.0,0.0
44,EBLN2,0.0,0.0,0.0,0.0
45,SLC41A3,0.0,0.0,0.0,0.0
46,ARL8B,0.0,0.0,0.0,0.0
47,TEF,0.0,0.0,0.0,0.0
48,TFF3,1.0,4.359004582968647,4.47223891963988,0.3630141942811007
49,LOC102725116,0.0,0.0,0.0,0.0
50,EFNB1,0.0,0.0,0.0,0.0
51,SLITRK4,0.0,0.0,0.0,0.0
52,NSUN5P1,0.0,0.0,0.0,0.0
53,GBX1,0.0,0.0,0.0,0.0
54,ARHGEF17,0.0,0.0,0.0,0.0
55,ZNF711,0.0,0.0,0.0,0.0
56,HCAR3,0.0,0.0,0.0,0.0
57,THBS4,1.0,3.507826146831251,3.647580605880147,0.3409460263499712
58,LOC101929109,0.0,0.0,0.0,0.0
59,ABCG8,1.0,4.899150406249867,5.000167467501288,0.37701834221224495
60,ALX1,0.0,0.0,0.0,0.0
61,LINC00582,0.0,0.0,0.0,0.0
62,ACR,1.0,3.537644242371161,3.6762653312270355,0.3417191083640637
63,MRPL21,2.23606797749979,21.331349508837505,21.44822770925799,1.1120664880802316
64,LOC101927157,0.0,0.0,0.0,0.0
65,SPRY2,0.0,0.0,0.0,0.0
66,FHOD3,0.0,0.0,0.0,0.0
67,ABHD14A-ACY1,1.0,4.899150406249798,5.000167467501219,0.3770183422122432
68,ACY1,1.0,4.899150406249798,5.000167467501219,0.3770183422122432
69,LOC389895,0.0,0.0,0.0,0.0
70,PCDH11Y,2.0,7.275875638128653,7.54575153987421,0.6886387608183235
71,PCDH11X,0.0,0.0,0.0,0.0
72,NAG18,0.0,0.0,0.0,0.0
73,FAM229A,0.0,0.0,0.0,0.0
74,IP6K3,1.0,4.899150406249833,5.000167467501253,0.37701834221224406
75,SESN2,0.0,0.0,0.0,0.0
76,ASAH2B,0.0,0.0,0.0,0.0
77,HIST1H4D,0.0,0.0,0.0,0.0
78,NPTX2,0.0,0.0,0.0,0.0
79,DSG1,1.7320508075688772,8.00174978029112,8.18706293773225,0.6404709155843704
80,TRAF1,1.0,4.482583594249279,4.592772112725906,0.36621817861378614
81,BHLHE40,0.0,0.0,0.0,0.0
82,TYROBP,2.6457513110645907,13.729851138773641,13.982446577508668,1.0174062683845815
83,LOC105375527,0.0,0.0,0.0,0.0
84,HLA-DMB,0.0,0.0,0.0,0.0
85,DYNC1I1,1.0,5.000242079092849,5.099256891894227,0.37963930618175235
86,FAM19A1,0.0,0.0,0.0,0.0
87,LINC01535,0.0,0.0,0.0,0.0
88,TMEM88,0.0,0.0,0.0,0.0
89,CAV1,1.0,13.051172877442806,13.089427545805764,0.5883726167507364
90,FAM60A,0.0,0.0,0.0,0.0
91,NTRK1,1.7320508075688772,13.750950842440387,13.85960493921858,0.7895281862138839
92,SNORA71B,0.0,0.0,0.0,0.0
93,BEX2,0.0,0.0,0.0,0.0
94,DCLRE1B,0.0,0.0,0.0,0.0
95,RPL39L,1.0,12.044956512325967,12.086396377077152,0.5622848415232342
96,IGFBP4,0.0,0.0,0.0,0.0
97,CYP20A1,0.0,0.0,0.0,0.0
98,MEF2C-AS1,0.0,0.0,0.0,0.0
99,LOC497256,0.0,0.0,0.0,0.0
100,FAM196A,0.0,0.0,0.0,0.0
101,LOC283038,0.0,0.0,0.0,0.0
102,FCAMR,0.0,0.0,0.0,0.0
103,LOC440028,0.0,0.0,0.0,0.0
104,SERPINB5,1.0,4.359004582968543,4.472238919639778,0.363014194281098
105,DPCD,0.0,0.0,0.0,0.0
106,IL1B,4.0,33.63678136048594,33.87378131081817,1.8720875767182479
107,CENPA,1.7320508075688772,16.77213649612039,16.861333359034614,0.8678572762447401
108,MMP20,0.0,0.0,0.0,0.0
109,EPHX2,1.0,4.472255443855578,4.582692304213306,0.36595040472804197
110,LOC401176,0.0,0.0,0.0,0.0
111,CARTPT,0.0,0.0,0.0,0.0
112,ALPK2,0.0,0.0,0.0,0.0
113,SDHAF4,1.0,8.267997617111819,8.328252193381676,0.4643611164500291
114,HEXA-AS1,0.0,0.0,0.0,0.0
115,SNORD89,0.0,0.0,0.0,0.0
116,CDKAL1,0.0,0.0,0.0,0.0
117,LOC400768,0.0,0.0,0.0,0.0
118,CAPN15,0.0,0.0,0.0,0.0
119,DOK7,0.0,0.0,0.0,0.0
120,C11orf74,0.0,0.0,0.0,0.0
121,DDB1,1.4142135623730951,6.62916436510238,6.778334616964792,0.5254251230539915
122,LOC101928002,0.0,0.0,0.0,0.0
123,LOC105373383,0.0,0.0,0.0,0.0
124,LRRC71,0.0,0.0,0.0,0.0
125,PRKAG3,1.0,4.472255443855578,4.582692304213306,0.36595040472804197
126,ATXN3L,0.0,0.0,0.0,0.0
127,INPP5F,2.0,9.380914148202459,9.591743858962513,0.7432152648385744
128,PIGU,0.0,0.0,0.0,0.0
129,DEFA6,0.0,0.0,0.0,0.0
130,GAS1,0.0,0.0,0.0,0.0
131,LOC101928524,0.0,0.0,0.0,0.0
132,PRPF18,0.0,0.0,0.0,0.0
133,GORASP1,1.0,3.873069054946049,4.000082987186725,0.3504155353151048
134,PDZK1,0.0,0.0,0.0,0.0
135,EFCAB7,0.0,0.0,0.0,0.0
136,PEX11G,0.0,0.0,0.0,0.0
137,SAMD12,0.0,0.0,0.0,0.0
138,NT5M,1.0,5.000242079092814,5.099256891894194,0.37963930618175146
139,C1QB,1.0,3.561098610110499,3.698840806378524,0.34232720051491633
140,SEMA5B,0.0,0.0,0.0,0.0
141,LOC102724387,0.0,0.0,0.0,0.0
142,FRY-AS1,0.0,0.0,0.0,0.0
143,CAP2,0.0,0.0,0.0,0.0
144,TMEM101,0.0,0.0,0.0,0.0
145,KCNG1,0.0,0.0,0.0,0.0
146,TEX261,0.0,0.0,0.0,0.0
147,SIGLEC16,0.0,0.0,0.0,0.0
148,IFNA21,1.0,8.037045056303153,8.099018041531142,0.4583733004062174
149,SNORA68,0.0,0.0,0.0,0.0
150,LRRC70,1.0,4.472255443855547,4.582692304213275,0.3659504047280412
151,IPO11,1.0,4.472255443855547,4.582692304213275,0.3659504047280412
152,SNUPN,0.0,0.0,0.0,0.0
153,FHDC1,0.0,0.0,0.0,0.0
154,LOC101928963,0.0,0.0,0.0,0.0
155,LOC100127955,0.0,0.0,0.0,0.0
156,KLHL17,0.0,0.0,0.0,0.0
157,AKR1E2,0.0,0.0,0.0,0.0
158,HPS5,0.0,0.0,0.0,0.0
159,PAQR4,0.0,0.0,0.0,0.0
160,CACNA1B,1.0,4.47225544385554,4.582692304213269,0.365950404728041
161,FAM222A-AS1,0.0,0.0,0.0,0.0
162,MIR7110,0.0,0.0,0.0,0.0
163,PDIA5,0.0,0.0,0.0,0.0
164,GSDMD,1.0,4.180065652367796,4.2980168517707105,0.3583749151331984
165,PRH1-PRR4,0.0,0.0,0.0,0.0
166,PRH2,2.0,9.380914148202462,9.591743858962516,0.7432152648385745
167,PRH1,1.0,4.548289324822617,4.656923424568562,0.3679217052008905
168,FCER2,1.0,3.394016774101147,3.538269331591358,0.3379953355865376
169,C1orf50,0.0,0.0,0.0,0.0
170,LINC01465,0.0,0.0,0.0,0.0
171,ELMOD3,0.0,0.0,0.0,0.0
172,GSKIP,0.0,0.0,0.0,0.0
173,LRRC8E,0.0,0.0,0.0,0.0
174,FKBP6,0.0,0.0,0.0,0.0
175,RFPL2,0.0,0.0,0.0,0.0
176,HERC2P9,0.0,0.0,0.0,0.0
177,HERC2P2,0.0,0.0,0.0,0.0
178,EIF1AY,1.7320508075688772,19.46549849719134,19.542405986575922,0.9376870116039691
179,GIF,0.0,0.0,0.0,0.0
180,FOLR2,0.0,0.0,0.0,0.0
181,MIR3671,0.0,0.0,0.0,0.0
182,MIR101-1,0.0,0.0,0.0,0.0
183,OLFM3,0.0,0.0,0.0,0.0
184,MVB12A,0.0,0.0,0.0,0.0
185,MRPL15,1.0,8.960258236697523,9.015887514177727,0.48230908476845946
186,FANCB,0.0,0.0,0.0,0.0
187,LOC100506274,0.0,0.0,0.0,0.0
188,RAB3B,0.0,0.0,0.0,0.0
189,NOMO3,0.0,0.0,0.0,0.0
190,TSPAN1,0.0,0.0,0.0,0.0
191,CDH5,1.0,11.623424169468816,11.66636144748618,0.5513559385627833
192,LOC101930243,0.0,0.0,0.0,0.0
193,LOC101929865,0.0,0.0,0.0,0.0
194,PMAIP1,0.0,0.0,0.0,0.0
195,PPFIBP2,0.0,0.0,0.0,0.0
196,CFP,1.0,8.487952589577802,8.54665660728922,0.4700638023541663
197,NUP93,1.0,8.039728486163076,8.101680944793001,0.4584428726348666
198,FER1L4,0.0,0.0,0.0,0.0
199,MATN1-AS1,0.0,0.0,0.0,0.0
200,MALT1,1.0,3.419660296471295,3.5628747582902975,0.3386601850869293
201,KRT33A,1.0,4.359004582968635,4.472238919639866,0.3630141942811004
202,PALM,0.0,0.0,0.0,0.0
203,LINC00115,0.0,0.0,0.0,0.0
204,LOC644656,0.0,0.0,0.0,0.0
205,CCDC177,0.0,0.0,0.0,0.0
206,NXPH3,0.0,0.0,0.0,0.0
207,PVT1,0.0,0.0,0.0,0.0
208,LYG1,0.0,0.0,0.0,0.0
209,MICAL1,0.0,0.0,0.0,0.0
210,PLK5,0.0,0.0,0.0,0.0
211,PENK,1.0,3.547091132794744,3.6853569032525333,0.341964034169798
212,FOSB,0.0,0.0,0.0,0.0
213,PTGFR,1.0,3.589712332700604,3.7263970040164547,0.34306905722608805
214,SLC27A4,0.0,0.0,0.0,0.0
215,LOC101929748,0.0,0.0,0.0,0.0
216,F5,2.0,7.240457705131371,7.511606205053367,0.6877204940249302
217,TTTY15,0.0,0.0,0.0,0.0
218,PRCAT47,0.0,0.0,0.0,0.0
219,NPB,0.0,0.0,0.0,0.0
220,LINC01114,0.0,0.0,0.0,0.0
221,TSPOAP1,0.0,0.0,0.0,0.0
222,OGN,0.0,0.0,0.0,0.0
223,CALCB,0.0,0.0,0.0,0.0
224,LOC105378568,0.0,0.0,0.0,0.0
225,CCDC9,0.0,0.0,0.0,0.0
226,F12,1.0,3.6895848243696743,3.8227001159153198,0.34565841196568303
227,PCSK1,0.0,0.0,0.0,0.0
228,LINC00961,0.0,0.0,0.0,0.0
229,LOC100129449,0.0,0.0,0.0,0.0
230,MIR663AHG,0.0,0.0,0.0,0.0
231,ZNF561-AS1,0.0,0.0,0.0,0.0
232,POP1,0.0,0.0,0.0,0.0
233,SLAMF8,0.0,0.0,0.0,0.0
234,BABAM1,0.0,0.0,0.0,0.0
235,LOC100506406,0.0,0.0,0.0,0.0
236,TAS2R45,0.0,0.0,0.0,0.0
237,TAS2R43,0.0,0.0,0.0,0.0
238,EBF1,1.0,3.960863420703032,4.085148594294132,0.35269174524321834
239,PRAME,0.0,0.0,0.0,0.0
240,RMDN3,0.0,0.0,0.0,0.0
241,LINC00710,0.0,0.0,0.0,0.0
