,node1,node2
97,SNAP25,SST
98,SNAP25,SYT5
99,SNAP25,SYT1
100,GRP,AGTR2
101,GRP,CARTPT
102,GRP,CCK
103,GRP,CCKBR
104,GRP,CRH
105,GRP,KALRN
106,GRP,NPFF
107,GRP,PRKCG
108,GRP,KRT19
109,GRP,NMU
110,GRP,TAC3
111,GRP,NPY
112,GRP,VIP
113,GRP,SST
114,GRP,TAC1
115,CBLN2,CBLN1
116,CBLN2,CCKBR
117,CRH,CALCB
118,CRH,CAMK2A
119,CRH,CARTPT
120,CRH,CCK
121,CRH,EGR1
122,CRH,NMU
123,CRH,PTH2R
124,CRH,HTR2C
125,CRH,TAC3
126,CRH,GRIN2B
127,CRH,GNAL
128,CRH,MRAP
129,CRH,GPHB5
130,CRH,TAC1
131,CRH,HSD11B2
132,CRH,SST
133,CRH,VIP
134,CRH,NPY
135,SST,AGTR2
136,SST,ATP4A
137,SST,CALCB
138,SST,CAMK2A
139,SST,CARTPT
140,SST,CBLN1
141,SST,CCK
142,SST,CCKBR
143,SST,CHRM1
144,SST,CORT
145,SST,DLX1
146,SST,ELFN1
147,SST,GRIN2B
148,SST,IFNA5
149,SST,IGF2
150,SST,ISL1
151,SST,KRT19
152,SST,LAMP5
153,SST,NMU
154,SST,NPY
155,SST,PCP2
156,SST,PCSK1
157,SST,PRKCG
158,SST,SCG2
159,SST,SCGN
160,SST,TAC3
161,SST,VIP
162,SST,TAC1
163,CARTPT,TAC3
164,CARTPT,SCG2
165,CARTPT,VIP
166,CARTPT,TAC1
167,CARTPT,PCSK1
168,CARTPT,CCK
169,CARTPT,NPY
170,SCG2,FAM20A
171,SCG2,HTR2C
172,SCG2,NMU
173,SCG2,NPFF
174,SCG2,NPY
175,SCG2,PCSK1
176,SCG2,SCG3
177,SCG2,VGF
178,SCG2,SYT1
179,SCG2,VIP
180,SCG2,TAC3
181,SCG2,TAC1
182,TAC1,CALCB
183,TAC1,CCK
184,TAC1,GRIN2B
185,TAC1,HTR2C
186,TAC1,KALRN
187,TAC1,MB
188,TAC1,NECAB2
189,TAC1,NMU
190,TAC1,NPFF
191,TAC1,NPY
192,TAC1,NTF3
193,TAC1,PCDH8
194,TAC1,PIEZO2
195,TAC1,PRKCG
196,TAC1,SCGN
197,TAC1,SCN11A
198,TAC1,VIP
199,TAC1,TAC3
200,VIP,ATP4A
201,VIP,CALCB
202,VIP,CCK
203,VIP,CORT
204,VIP,GPHB5
205,VIP,NMU
206,VIP,NPY
207,VIP,NTF3
208,VIP,TAC3
209,DPP10,DLGAP2
210,DPP10,SYT1
211,CCK,AGTR2
212,CCK,ATP4A
213,CCK,CAMK2A
214,CCK,KALRN
215,CCK,CCNA1
216,CCK,LMNB1
217,CCK,NMU
218,CCK,NPFF
219,CCK,CHRM1
220,CCK,PCSK1
221,CCK,NFATC1
222,CCK,TAC3
223,CCK,NPY
224,CCK,CCKBR
225,NPY,AGTR2
226,NPY,CALCB
227,NPY,CCKBR
228,NPY,CHRM1
229,NPY,CORT
230,NPY,GALP
231,NPY,GNRH2
232,NPY,GRIN2B
233,NPY,HTR2C
234,NPY,NMU
235,NPY,NPFF
236,NPY,SCG3
237,NPY,VGF
238,NPY,SYT1
239,NPY,PCSK1
240,NPY,PCP2
241,NPY,UCP3
242,NPY,SCGN
243,NPY,TAC3
244,NELL2,ANO1
245,NELL2,NELL1
246,NELL2,ROBO2
247,CALCB,GPHB5
248,ADRA2B,PRKCG
249,ADRA2B,PCP2
250,ADRA2B,AGTR2
251,PRKCG,CACNB1
252,PRKCG,GRIN2B
253,PRKCG,ITGB8
254,PCP2,AGTR2
255,PCP2,CBLN1
256,PCP2,CCL25
257,PCP2,CHRM4
258,PCP2,CORT
259,PCP2,GRM4
260,PCP2,NMU
261,AGTR2,NMU
262,AGTR2,CCL25
263,AGTR2,CORT
264,AGTR2,CCKBR
265,AGTR2,GRM4
266,AGTR2,CHRM4
267,AEBP1,PCOLCE
268,PCOLCE,CD248
269,PCOLCE,COL24A1
270,PCOLCE,COL8A1
271,PCOLCE,OGN
272,PCOLCE,SERPINA1
273,NMU,CCKBR
274,NMU,CORT
275,NMU,KALRN
276,NMU,RGS4
277,NMU,TAC3
278,NMU,NPFF
279,CCL25,PF4V1
280,CCL25,CCL8
281,CORT,FANCM
282,CORT,FANCC
283,CORT,FANCB
284,CCKBR,ATP4A
285,CCKBR,KALRN
286,GRM4,FAT2
287,GRM4,GABRA5
288,GRM4,GRIN2B
289,GRM4,TLX3
290,GRM4,ROBO2
291,CHRM4,HTR2C
292,AHNAK,CHRM1
293,CHRM1,CAMK2A
294,CHRM1,KALRN
295,CHRM1,RGS7
296,CHRM1,GABRA5
297,CHRM1,GRIN2B
298,CHRM1,GNAL
299,CHRM1,PIK3CG
300,AK5,MRPL24
301,MRPL24,AKNAD1
302,MRPL24,KCNA10
303,MRPL24,KCNB2
304,MRPL24,KCNF1
305,MRPL24,KCNV1
306,MRPL24,PRAMEF12
307,ANGPT2,FGFR4
308,ANGPT2,FGF5
309,ANGPT2,IFNA5
310,ANGPT2,FGF16
311,ANGPT2,FGFR1
312,FGFR4,FGF16
313,FGFR4,FGF5
314,FGFR4,FGFR1
315,FGFR4,NTF3
316,FGFR4,IGF2
317,FGF5,EOMES
318,FGF5,FGF16
319,FGF5,ISL1
320,FGF5,VGF
321,FGF5,RSPO2
322,FGF5,LRRFIP1
323,FGF5,NTF3
324,FGF5,IGF2
325,FGF5,FGFR1
326,IFNA5,OSMR
327,IFNA5,IL13RA2
328,FGF16,ISL1
329,FGF16,VGF
330,FGF16,IGF2
331,FGF16,FGFR1
332,FGF16,NTF3
333,FGFR1,EGR1
334,FGFR1,FOXJ1
335,FGFR1,KRT18
336,FGFR1,LRRFIP1
337,FGFR1,IGF2
338,FGFR1,HOMER3
339,FGFR1,TAC3
340,FGFR1,NTF3
341,ANO1,FANCC
342,ANO1,NELL1
343,ANO1,CALD1
344,FANCC,FANCB
345,FANCC,FANCM
346,FANCC,RMI2
347,NELL1,FAT2
348,NELL1,SYT1
349,NELL1,ZSCAN20
350,CALD1,SERPINA1
351,CALD1,KRT19
352,CALD1,SMTN
353,ANO3,TAF1
354,ANO3,GNAL
355,TAF1,BRWD3
356,TAF1,DDX6
357,TAF1,GNAL
358,GNAL,HTR2C
359,GNAL,OR1N1
360,GNAL,OR7A5
361,GNAL,RGS4
362,GNAL,OR5K1
363,GNAL,OR6K6
364,GNAL,OR52B6
365,GNAL,OR10G7
366,APOA5,NPC1L1
367,APOA5,LDLRAP1
368,APOA5,PCYOX1
369,APOA5,SERPINA1
370,APOA5,FAM20A
371,NPC1L1,CLDN9
372,LDLRAP1,LTF
373,LDLRAP1,SYT1
374,LDLRAP1,STON1
375,SERPINA1,C1R
376,SERPINA1,C4B
377,SERPINA1,FAM20A
378,SERPINA1,KRT18
379,SERPINA1,KRT19
380,SERPINA1,LTF
381,SERPINA1,MB
382,SERPINA1,PF4V1
383,SERPINA1,SERPINA3
384,FAM20A,SCG3
385,FAM20A,VGF
386,FAM20A,MATN3
387,FAM20A,SERPINA3
388,AQP1,FOXC1
389,AQP1,CLCNKA
390,FOXC1,C5orf24
391,FOXC1,ZIC1
392,FOXC1,NFATC1
393,FOXC1,TFAP2A
394,CLCNKA,BSND
395,ATP4A,SYT1
396,ATP4A,CA9
397,ATP4A,ATP6V1H
398,ATP4A,S100A8
399,SYT1,CAMK2A
400,SYT1,DLGAP2
401,SYT1,EXPH5
402,SYT1,GRIN2B
403,SYT1,NECAB1
404,SYT1,NRGN
405,SYT1,SCGN
406,SYT1,STON1
407,SYT1,SVOP
408,SYT1,TYRP1
409,SYT1,SYT5
410,CA9,TSPAN16
411,S100A8,LTF
412,S100A8,S100A12
413,S100A8,SMTNL2
414,BARHL1,ISL1
415,BARHL1,ZIC1
416,BARHL1,LHX1
417,ISL1,DLX1
418,ISL1,EBF1
419,ISL1,EOMES
420,ISL1,HOXC9
421,ISL1,ZIC1
422,ISL1,TFAP2A
423,ISL1,PROX1
424,ISL1,TLX3
425,ISL1,ROBO2
426,ISL1,LDB2
427,ZIC1,CBLN1
428,ZIC1,DLX1
429,ZIC1,EN2
430,ZIC1,ENC1
431,ZIC1,HOMER3
432,ZIC1,HOXC9
433,ZIC1,LHX1
434,ZIC1,TFAP2A
435,LHX1,EOMES
436,LHX1,LDB2
437,LHX1,TLX3
438,LHX1,TFAP2A
439,BSND,WNK1
440,BSND,CNNM2
441,BSND,CCDC57
442,CNNM2,DYNC1I1
443,CNNM2,MAGT1
444,CCDC57,OR6K6
445,CCDC57,RASAL1
446,BTNL9,LTF
447,LTF,DEFB1
448,LTF,IGF2
449,LTF,SERPINA3
450,LTF,MAVS
451,LTF,S100A12
452,LTF,MB
453,C1R,C4B
454,C4B,SERPINA3
455,SERPINA3,SERPINI1
456,SERPINA3,SERPINA5
457,CACNB1,CACNG3
458,CACNB1,KCNF1
459,CACNB1,SLITRK1
460,CACNB1,SCN11A
461,CACNB1,GABRA5
462,CACNB1,CATSPERG
463,CACNB1,CAMK2A
464,CACNG3,CATSPERG
465,CACNG3,GRIN2B
466,CACNG3,CAMK2A
467,KCNF1,GABRA5
468,KCNF1,KCNB2
469,KCNF1,SLITRK1
470,SLITRK1,GABRA5
471,SLITRK1,ROBO2
472,SCN11A,PIEZO2
473,GABRA5,GLRA2
474,GABRA5,HTR2C
475,GABRA5,GRIN2B
476,CAMK2A,EGR1
477,CAMK2A,KALRN
478,CAMK2A,NRGN
479,CAMK2A,DDN
480,CAMK2A,SATB2
481,CAMK2A,GRIN2B
482,CAMK2A,DLGAP2
483,GRIN2B,DLGAP2
484,GRIN2B,EGR1
485,GRIN2B,ELFN1
486,GRIN2B,KALRN
487,GRIN2B,HTR2C
488,GRIN2B,NEUROD6
489,GRIN2B,SATB2
490,GRIN2B,HOMER3
491,KRT19,COL8A2
492,KRT19,DCLK1
493,KRT19,KRT17
494,KRT19,KRT18
495,KRT19,MAL2
496,KRT19,S100A4
497,SMTN,SMTNL2
498,EGR1,EBF1
499,EGR1,PLK2
500,EGR1,TFAP2A
501,EGR1,IGF2
502,EGR1,WEE1
503,EGR1,GNRH2
504,EGR1,IRF6
505,EGR1,ETS2
506,EGR1,ITGA2
507,EGR1,SAMHD1
508,EGR1,NFATC1
509,EGR1,RRAD
510,EGR1,VGF
511,KALRN,GNRH2
512,KALRN,HTR2C
513,KALRN,RHOQ
514,KALRN,NPFF
515,KALRN,TAC3
516,KALRN,NGEF
517,DDN,FAT2
518,SATB2,DLX1
519,SATB2,EOMES
520,SATB2,IRF6
521,SATB2,MDGA1
522,SATB2,NEUROD6
523,DLGAP2,CLN8
524,DLGAP2,HOMER3
525,TAC3,GNRH2
526,TAC3,MIA
527,TAC3,NPFF
528,PCSK1,CFLAR
529,PCSK1,SCG3
530,CASQ2,MYOT
531,CASQ2,SLN
532,CASQ2,TCAP
533,MYOT,MB
534,MYOT,PGAM2
535,MYOT,SLN
536,MYOT,TRIM55
537,MYOT,PGM5
538,MYOT,TCAP
539,SLN,MB
540,SLN,TCAP
541,SLN,UCP3
542,TCAP,MB
543,TCAP,PGAM2
544,TCAP,TRIM55
545,CBLN1,KCNB2
546,KCNB2,SERTM1
547,KCNB2,KCNV1
548,OR6K6,OR7A5
549,CCNA1,SAMHD1
550,CCNA1,LMNB1
551,CCNA1,PLK2
552,CCNA1,CNTD2
553,CCNA1,WEE1
554,CCNA1,E2F2
555,LMNB1,UHRF1
556,LMNB1,STAT4
557,NPFF,MRGPRF
558,NFATC1,DAPP1
559,CCL8,IL13RA2
560,SAMHD1,GBP2
561,SAMHD1,IRF6
562,SAMHD1,MAVS
563,SAMHD1,XAF1
564,PLK2,CNTD2
565,PLK2,NPTX2
566,PLK2,NRDE2
567,PLK2,WEE1
568,CNTD2,WEE1
569,CNTD2,SVOP
570,WEE1,E2F2
571,CD2,CRTAM
572,CD2,STAT4
573,CD2,MAL2
574,CD2,EOMES
575,CRTAM,EOMES
576,STAT4,EOMES
577,STAT4,FUT7
578,STAT4,MAVS
579,STAT4,SERPINB2
580,EOMES,DLX1
581,EOMES,RORA
582,EOMES,ITGA2
583,EOMES,NEUROD6
584,EOMES,ETS2
585,CDC42BPG,RHOQ
586,RHOQ,TRIP10
587,CDH15,CPNE7
588,CDH15,CDH26
589,CDR2L,ZCCHC12
590,CDR2L,HOMER3
591,ZCCHC12,FANCM
592,CFLAR,LILRB3
593,CFLAR,HSPB3
594,LILRB3,EBF1
595,HSPB3,IGF2
596,FANCM,DAPP1
597,FANCM,FANCB
598,FANCM,POLK
599,FANCM,POLH
600,FANCM,RMI2
601,CHL1,ITGA2
602,ITGA2,COL8A1
603,ITGA2,COL8A2
604,ITGA2,COMP
605,ITGA2,ITGB8
606,ITGA2,LAMC2
607,RGS7,RGS4
608,PIK3CG,IRS4
609,CHST6,COL8A2
610,CHST6,OGN
611,COL8A2,COL24A1
612,COL8A2,COL8A1
613,OGN,CILP
614,CILP,COMP
615,CILP,IGF2
616,CILP,MATN3
617,COMP,SLC26A2
618,COMP,ITGB8
619,COMP,MATN3
620,IGF2,HSD11B2
621,IGF2,IRS4
622,IGF2,NTF3
623,MATN3,SLC26A2
624,CLEC5A,S100A12
625,CNKSR2,FANCB
626,DYNC1I1,NDE1
627,MAGT1,LRRFIP1
628,COL24A1,COL8A1
629,SLC26A2,SLC13A4
630,ITGB8,LAMC2
631,HSD11B2,NOM1
632,DCLK1,MAB21L1
633,DDX6,MAVS
634,MAVS,IRF6
635,MAVS,RNF125
636,DEFB1,IL17RA
637,IL17RA,TNFSF15
638,DGKB,PROX1
639,PROX1,DLX1
640,DLX1,NEUROD6
641,DLX1,FOXJ1
642,DLX1,MDGA1
643,DLX1,ELFN1
644,NEUROD6,EN2
645,MDGA1,LRFN5
646,ELFN1,MMRN1
647,FLG,KRT17
648,NDE1,KIF19
649,NDE1,KLC4
650,NDE1,ZWILCH
651,EBF1,TLX3
652,EBF1,LDB2
653,TLX3,IRS4
654,EDARADD,NPTX2
655,EDARADD,WNT10B
656,EDARADD,IRF6
657,NPTX2,VGF
658,WNT10B,IRF6
659,WNT10B,WIF1
660,IRF6,TFAP2A
661,TFAP2A,LRRFIP1
662,VGF,NTF3
663,VGF,SCG3
664,EN2,SLC30A3
665,EN2,HPRT1
666,HPRT1,GLRA2
667,HPRT1,HBQ1
668,RMI2,POLH
669,RMI2,POLK
670,POLK,POLH
671,NTF3,TYRP1
672,RSPO2,ZNRF3
673,LRRFIP1,ZNF326
674,KRT18,KRT17
675,KRT17,LAMC2
676,FUT2,FUT9
677,FUT2,FUT7
678,FUT2,ZSCAN20
679,GBP2,XAF1
680,ROBO2,PAK3
681,ROBO2,SRGAP1
682,GRTP1,NRDE2
683,NOM1,NOL9
684,KIF19,KLC4
685,KLHL33,TRIM55
686,LDHAL6A,PGAM2
687,PGAM2,MB
688,PGAM2,PHKG1
689,UHRF1,ZWILCH
690,LRFN5,PTPRE
691,PRAMEF12,TRIM43
692,MSC,ZBTB49
693,PGM5,PGM2L1
694,NECAB1,NECAB2
695,NECAB2,PCDH8
696,TRIP10,SRGAP1
