,node1,node2
0,A2ML1,DSG1
1,A2ML1,KLK7
2,DSG1,KLK7
3,DSG1,FLG
4,KLK7,FLG
5,KLK7,SPINK6
6,ACVR2B,MYOD1
7,ACVR2B,GPRASP1
8,ACVR2B,SMAD5
9,MYOD1,CALD1
10,MYOD1,CDH15
11,MYOD1,FGF16
12,MYOD1,FGF5
13,MYOD1,IGF2
14,MYOD1,ISL1
15,MYOD1,MB
16,MYOD1,MSC
17,MYOD1,RORA
18,MYOD1,TAF1
19,MYOD1,UCP3
20,ADAMTS18,IRX3
21,ADAMTS18,CHD7
22,IRX3,EN2
23,IRX3,HOXC9
24,IRX3,ISL1
25,IRX3,ZIC1
26,IRX3,LHX1
27,CHD7,CAMK2A
28,CHD7,GNRH2
29,CHD7,FANCM
30,CHD7,PBRM1
31,CHD7,MAL2
32,CHD7,FGFR1
33,CHD7,TAC3
34,ADCYAP1,SCT
35,ADCYAP1,GNB4
36,ADCYAP1,SNAP25
37,ADCYAP1,GRP
38,ADCYAP1,CBLN2
39,ADCYAP1,CRH
40,ADCYAP1,SST
41,ADCYAP1,CARTPT
42,ADCYAP1,SCG2
43,ADCYAP1,TAC1
44,ADCYAP1,VIP
45,ADCYAP1,DPP10
46,ADCYAP1,CCK
47,ADCYAP1,NPY
48,ADCYAP1,NELL2
49,ADCYAP1,CALCB
50,ADCYAP1,GPHB5
51,SCT,AQP1
52,SCT,ATP4A
53,SCT,CALCB
54,SCT,CCK
55,SCT,CRH
56,SCT,GNB4
57,SCT,GPHB5
58,SCT,GRP
59,SCT,NPY
60,SCT,TAC1
61,SCT,SST
62,SCT,VIP
63,GNB4,ADRA2B
64,GNB4,AGTR2
65,GNB4,CCKBR
66,GNB4,CHRM4
67,GNB4,CRH
68,GNB4,GNAL
69,GNB4,PCP2
70,GNB4,VIP
71,GNB4,KALRN
72,GNB4,RHOQ
73,GNB4,NMU
74,GNB4,HTR2C
75,GNB4,RGS4
76,GNB4,PRKAA2
77,GNB4,RGS7
78,GNB4,PIK3CG
79,GNB4,PRKCG
80,SNAP25,ANO3
81,SNAP25,CAMK2A
82,SNAP25,CBLN1
83,SNAP25,CCK
84,SNAP25,DYNC1I1
85,SNAP25,GRIN2B
86,SNAP25,GRM4
87,SNAP25,HTR2C
88,SNAP25,NEUROD6
89,SNAP25,NPY
90,SNAP25,NRGN
91,SNAP25,PCSK1
92,SNAP25,RGS4
93,SNAP25,SCG2
94,SNAP25,SCGN
95,SNAP25,TAC1
96,SNAP25,SVOP
