node_0.4
SST
NPY
SNAP25
TAC1
GNAL
ZIC1
ISL1
GNB4
CRH
CCK
GRIN2B
VIP
SYT1
SCG2
GRP
FGFR1
CAMK2A
LTF
SCT
SERPINA1
TAC3
KALRN
FANCM
ADCYAP1
MYOD1
