#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	NPC1L1	9606.ENSP00000378868	9606.ENSP00000289547	0	0	0	0	0.181	0	0	0	0.181
A1CF	A2ML1	9606.ENSP00000378868	9606.ENSP00000299698	0	0	0	0	0.101	0	0	0.122	0.177
A1CF	ADAT3	9606.ENSP00000378868	9606.ENSP00000332448	0	0	0	0	0	0	0	0.226	0.226
A1CF	ZNF326	9606.ENSP00000378868	9606.ENSP00000340796	0	0	0	0	0	0	0	0.153	0.153
A1CF	ATP6V1H	9606.ENSP00000378868	9606.ENSP00000352522	0	0	0	0	0	0	0	0.190	0.190
A1CF	PROX1	9606.ENSP00000378868	9606.ENSP00000355925	0	0	0	0	0.127	0.081	0	0	0.163
A1CF	NXPE4	9606.ENSP00000378868	9606.ENSP00000364627	0	0	0	0	0.087	0	0	0.128	0.171
A1CF	NXPH1	9606.ENSP00000378868	9606.ENSP00000384551	0	0	0	0	0	0	0	0.154	0.154
A1CF	APOA5	9606.ENSP00000378868	9606.ENSP00000445002	0	0	0	0	0.149	0	0	0.113	0.214
A1CF	AP5B1	9606.ENSP00000378868	9606.ENSP00000454303	0	0	0	0	0	0	0	0.348	0.347
A2ML1	CRYM	9606.ENSP00000299698	9606.ENSP00000219599	0	0	0	0	0	0	0	0.161	0.161
A2ML1	SCG3	9606.ENSP00000299698	9606.ENSP00000220478	0	0	0	0	0	0	0	0.176	0.176
A2ML1	LTF	9606.ENSP00000299698	9606.ENSP00000231751	0	0	0	0	0.070	0	0	0.163	0.189
A2ML1	DSG1	9606.ENSP00000299698	9606.ENSP00000257192	0	0	0	0	0.130	0	0	0.567	0.608
A2ML1	NPTX2	9606.ENSP00000299698	9606.ENSP00000265634	0	0	0	0	0	0.155	0	0.045	0.158
A2ML1	BEX5	9606.ENSP00000299698	9606.ENSP00000446054	0	0	0	0	0	0.164	0	0	0.163
A2ML1	APOA5	9606.ENSP00000299698	9606.ENSP00000445002	0	0	0	0	0.141	0	0	0.084	0.179
A2ML1	S100A12	9606.ENSP00000299698	9606.ENSP00000357726	0	0	0	0	0.066	0	0	0.161	0.184
A2ML1	SPINK6	9606.ENSP00000299698	9606.ENSP00000481309	0	0	0	0	0.064	0	0	0.166	0.186
A2ML1	SERPINB2	9606.ENSP00000299698	9606.ENSP00000401645	0	0	0	0	0.085	0	0	0.148	0.188
A2ML1	C1R	9606.ENSP00000299698	9606.ENSP00000444271	0	0	0	0	0.060	0.127	0	0.092	0.190
A2ML1	WDR87	9606.ENSP00000299698	9606.ENSP00000405012	0	0	0.218	0	0.044	0	0	0.041	0.220
A2ML1	SERPINA1	9606.ENSP00000299698	9606.ENSP00000416066	0	0	0	0	0.074	0	0	0.209	0.236
A2ML1	SERPINA3	9606.ENSP00000299698	9606.ENSP00000450540	0	0	0	0	0.074	0	0	0.210	0.237
A2ML1	FUT2	9606.ENSP00000299698	9606.ENSP00000387498	0	0	0	0	0.062	0	0	0.242	0.258
A2ML1	MLIP	9606.ENSP00000299698	9606.ENSP00000426290	0	0	0.257	0	0.050	0	0	0	0.263
A2ML1	MAL2	9606.ENSP00000299698	9606.ENSP00000479708	0	0	0	0	0.066	0	0	0.244	0.264
A2ML1	KLK7	9606.ENSP00000299698	9606.ENSP00000470538	0	0	0	0	0.128	0.123	0	0.802	0.835
A4GALT	S100P	9606.ENSP00000384794	9606.ENSP00000296370	0	0	0	0	0.042	0.045	0	0.164	0.168
A4GALT	FUT9	9606.ENSP00000384794	9606.ENSP00000302599	0	0	0	0	0	0	0	0.202	0.202
A4GALT	GLTP	9606.ENSP00000384794	9606.ENSP00000315263	0	0	0	0	0.042	0	0	0.227	0.228
A4GALT	FUT7	9606.ENSP00000384794	9606.ENSP00000318142	0	0	0	0	0	0	0	0.356	0.356
A4GALT	GKN2	9606.ENSP00000384794	9606.ENSP00000329292	0	0	0	0	0	0	0	0.204	0.204
A4GALT	GALNT6	9606.ENSP00000384794	9606.ENSP00000348668	0	0	0	0	0	0	0	0.164	0.164
A4GALT	PGLYRP4	9606.ENSP00000384794	9606.ENSP00000352672	0	0	0	0	0	0	0	0.190	0.190
A4GALT	S100A4	9606.ENSP00000384794	9606.ENSP00000357704	0	0	0	0	0.043	0.045	0	0.164	0.169
A4GALT	TBC1D23	9606.ENSP00000384794	9606.ENSP00000377700	0	0	0	0	0	0	0	0.161	0.161
A4GALT	TMEM130	9606.ENSP00000384794	9606.ENSP00000413163	0	0	0	0	0	0	0	0.158	0.157
A4GALT	NECAB1	9606.ENSP00000384794	9606.ENSP00000387380	0	0	0	0	0	0.050	0	0.159	0.166
A4GALT	PCYOX1	9606.ENSP00000384794	9606.ENSP00000387654	0	0	0	0	0	0	0	0.191	0.191
A4GALT	RDH8	9606.ENSP00000384794	9606.ENSP00000498711	0	0	0	0	0	0	0	0.192	0.192
