node_0.15
DCLK1
TEP1
EGR1
CCK
SST
SNAP25
AK5
HPRT1
GRIN2B
CBLN1
SCGN
TAC1
LTF
IGF2
PLK2
CRYM
CAMK2A
NPTX2
SYT1
ISL1
CHD7
S100A4
NCALD
MYOD1
MATN3
