node_0.7
NPY
SST
VIP
TAC1
CCK
FANCM
FGFR1
SCT
GRP
CRH
MYOD1
LTF
FGFR4
GNAL
SNAP25
CHRM1
STAT4
ADCYAP1
FGF5
KLK7
CORT
ITGA2
IGF2
SLC26A2
MATN3
