,Gene
0,A2ML1
1,DSG1
2,KLK7
3,ACVR2B
4,MYOD1
5,GPRASP1
6,SMAD5
7,ADAMTS18
8,IRX3
9,CHD7
10,ADCYAP1
11,SCT
12,GNB4
13,SNAP25
14,GRP
15,CBLN2
16,CRH
17,SST
18,CARTPT
19,SCG2
20,TAC1
21,VIP
22,DPP10
23,CCK
24,NPY
25,NELL2
26,CALCB
27,GPHB5
28,ADRA2B
29,PRKCG
30,PCP2
31,AGTR2
32,AEBP1
33,PCOLCE
34,NMU
35,CCL25
36,CORT
37,CCKBR
38,GRM4
39,CHRM4
40,AHNAK
41,CHRM1
42,AK5
43,MRPL24
44,AKNAD1
45,ANGPT2
46,FGFR4
47,FGF5
48,IFNA5
49,FGF16
50,FGFR1
51,ANO1
52,FANCC
53,NELL1
54,CALD1
55,ANO3
56,TAF1
57,GNAL
58,APOA5
59,NPC1L1
60,LDLRAP1
61,PCYOX1
62,SERPINA1
63,FAM20A
64,AQP1
65,FOXC1
66,CLCNKA
67,ATP4A
68,SYT1
69,CA9
70,ATP6V1H
71,S100A8
72,BARHL1
73,ISL1
74,ZIC1
75,LHX1
76,BRWD3
77,BSND
78,WNK1
79,CNNM2
80,CCDC57
81,BTNL9
82,LTF
83,C1R
84,C4B
85,SERPINA3
86,C5orf24
87,TSPAN16
88,CACNB1
89,CACNG3
90,KCNF1
91,SLITRK1
92,SCN11A
93,GABRA5
94,CATSPERG
95,CAMK2A
96,GRIN2B
97,KRT19
98,SMTN
99,EGR1
100,KALRN
101,NRGN
102,DDN
103,SATB2
104,DLGAP2
105,TAC3
106,PCSK1
107,CASQ2
108,MYOT
109,SLN
110,TCAP
111,CBLN1
112,KCNB2
113,OR6K6
114,RASAL1
115,CCNA1
116,LMNB1
117,NPFF
118,NFATC1
119,PF4V1
120,CCL8
121,IL13RA2
122,SAMHD1
123,PLK2
124,CNTD2
125,WEE1
126,E2F2
127,CD2
128,CRTAM
129,STAT4
130,MAL2
131,EOMES
132,CD248
133,CDC42BPG
134,RHOQ
135,CDH15
136,CPNE7
137,CDH26
138,CDR2L
139,ZCCHC12
140,HOMER3
141,CFLAR
142,LILRB3
143,HSPB3
144,GNRH2
145,FANCM
146,PBRM1
147,CHL1
148,ITGA2
149,RGS7
150,PIK3CG
151,HTR2C
152,CHST6
153,COL8A2
154,OGN
155,CILP
156,COMP
157,IGF2
158,MATN3
159,CLDN9
160,CLEC5A
161,S100A12
162,CLN8
163,CNKSR2
164,FANCB
165,DYNC1I1
166,MAGT1
167,SVOP
168,COL24A1
169,COL8A1
170,SLC26A2
171,ITGB8
172,PTH2R
173,MRAP
174,HSD11B2
175,DAPP1
176,DCLK1
177,MAB21L1
178,FAT2
179,DDX6
180,MAVS
181,DEFB1
182,IL17RA
183,DGKB
184,PROX1
185,DLX1
186,NEUROD6
187,FOXJ1
188,MDGA1
189,ELFN1
190,FLG
191,NDE1
192,EBF1
193,TLX3
194,LDB2
195,EDARADD
196,NPTX2
197,WNT10B
198,IRF6
199,TFAP2A
200,ETS2
201,RRAD
202,VGF
203,MMRN1
204,EN2
205,SLC30A3
206,HPRT1
207,ENC1
208,RORA
209,EXPH5
210,SCG3
211,RMI2
212,POLK
213,POLH
214,NTF3
215,RSPO2
216,LRRFIP1
217,KRT18
218,KRT17
219,FUT2
220,FUT9
221,FUT7
222,ZSCAN20
223,GLRA2
224,GALP
225,GBP2
226,XAF1
227,OR1N1
228,OR7A5
229,RGS4
230,OR5K1
231,OR52B6
232,OR10G7
233,PRKAA2
234,ROBO2
235,GRTP1
236,NRDE2
237,HBQ1
238,HOXC9
239,NOM1
240,OSMR
241,IRS4
242,TNFSF15
243,LAMC2
244,NGEF
245,KCNA10
246,SERTM1
247,KCNV1
248,KIF19
249,KLC4
250,KLHL33
251,TRIM55
252,SPINK6
253,S100A4
254,LAMP5
255,LDHAL6A
256,PGAM2
257,STON1
258,UHRF1
259,LRFN5
260,PTPRE
261,ZNF326
262,MB
263,RNF125
264,MIA
265,MRGPRF
266,PRAMEF12
267,MSC
268,ZBTB49
269,UCP3
270,PGM5
271,ZWILCH
272,NECAB1
273,NECAB2
274,PCDH8
275,NOL9
276,SCGN
277,TYRP1
278,PAK3
279,PHKG1
280,PGM2L1
281,PIEZO2
282,TRIM43
283,TRIP10
284,SRGAP1
285,ZNRF3
286,SMTNL2
287,SERPINI1
288,SERPINA5
289,SERPINB2
290,SLC13A4
291,SYT5
292,WIF1
