"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1407805";"";"None";"318.31";"0";"1.76";"SID85248363";"Nc1nc2ccccc2n1S(=O)(=O)c1ccc([N+](=O)[O-])cc1";"IC50";"'>'";"5000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1738176";"PUBCHEM_BIOASSAY: SAR analysis of tumor necrosis factor alpha (TNF-alpha) induced IL-8 secretion in MCF-7/NOD1 cells. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1575, AID2250, AID2260]";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF-7/NOD1";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"5.0"
"CHEMBL1336829";"";"None";"437.55";"1";"1.38";"SID87544797";"CCCCn1c(SCC(=O)Nc2nnc(CC)s2)nc2c1c(=O)n(C)c(=O)n2C";"IC50";"'>'";"25000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1614536";"PUBCHEM_BIOASSAY: SAR analysis of GM-Tri-DAP induced IL-8 secretion in MCF-7/NOD1 cells - Set 2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1575, AID1578, AID2333]";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF-7/NOD1";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"25.0"
"CHEMBL1345225";"";"None";"376.87";"0";"2.95";"SID87544838";"C/C=C/Cn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C";"IC50";"'>'";"25000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1614536";"PUBCHEM_BIOASSAY: SAR analysis of GM-Tri-DAP induced IL-8 secretion in MCF-7/NOD1 cells - Set 2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1575, AID1578, AID2333]";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF-7/NOD1";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"25.0"
"CHEMBL1876789";"";"None";"459.64";"0";"4.02";"SID99360663";"CC1C(c2ccccc2)OCCN1C(=S)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1";"IC50";"";"4480.0";"nM";"";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL2114851";"PubChem BioAssay. Dose Response confirmation of uHTS small molecule hits for cystic fibrosis induced NFkb Inhibitors in a TNFa-induced IL8 counterscreen. (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"4.48"
"CHEMBL1538117";"";"None";"255.25";"0";"2.95";"SID17411541";"O=C(Nc1cccc2[nH]ncc12)c1ccc(F)cc1";"IC50";"";"79000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL2114851";"PubChem BioAssay. Dose Response confirmation of uHTS small molecule hits for cystic fibrosis induced NFkb Inhibitors in a TNFa-induced IL8 counterscreen. (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"79.0"
"CHEMBL1305077";"";"None";"380.47";"0";"4.69";"SID17414313";"C=CCSc1nc2ccccc2n1C(=O)/C=C/c1ccc(OC)c(OC)c1";"IC50";"";"79000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL2114851";"PubChem BioAssay. Dose Response confirmation of uHTS small molecule hits for cystic fibrosis induced NFkb Inhibitors in a TNFa-induced IL8 counterscreen. (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"79.0"
"CHEMBL5868666";"";"None";"844.94";"4";"6.95";"BDBM277678";"COc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(C(=O)NCCOCCOCC(=O)O)c1";"IC50";"'='";"115.0";"nM";"6.94";"";"527488";"UO_0000065";"8.21";"0.16";"-0.01";"3.09";"0";"CHEMBL5731187";"PBMC Cell Assay: PBMCs from healthy subjects are separated from whole blood using a density gradient (Lymphoprep, Axis-Shield Healthcare). Cells are added to a 96 well plate pre-coated with a mixture of CD3/CD28 monoclonal antibodies (0.3 μg/mL eBioscience and 3 μg/mL BD Pharmingen respectively). Compound at the desired concentration is then added to the wells and the plate left for 3 days under normal tissue culture conditions. Supernatants are harvested and IL-2 and IFN gamma release determined by Sandwich ELISA (Duo-set, R&D System). The IC50 is determined from the dose response curve.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725628";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"115.0"
"CHEMBL5882208";"";"None";"853.95";"3";"8.09";"BDBM277697";"COc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)ccn2)cc(OCCOCCn2cc(C(=O)O)cn2)c1";"IC50";"'='";"18.1";"nM";"7.74";"";"527512";"UO_0000065";"9.07";"0.17";"-0.35";"3.63";"0";"CHEMBL5731187";"PBMC Cell Assay: PBMCs from healthy subjects are separated from whole blood using a density gradient (Lymphoprep, Axis-Shield Healthcare). Cells are added to a 96 well plate pre-coated with a mixture of CD3/CD28 monoclonal antibodies (0.3 μg/mL eBioscience and 3 μg/mL BD Pharmingen respectively). Compound at the desired concentration is then added to the wells and the plate left for 3 days under normal tissue culture conditions. Supernatants are harvested and IL-2 and IFN gamma release determined by Sandwich ELISA (Duo-set, R&D System). The IC50 is determined from the dose response curve.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725628";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"18.1"
"CHEMBL570538";"";"None";"310.18";"0";"4.93";"2";"CC(C(=O)O)c1ccccc1Nc1c(Cl)cccc1Cl";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"25.79";"0.55";"3.07";"16.22";"0";"CHEMBL1052371";"Inhibition of CXCL8-induced chemotaxis in human polymorphonuclear leukocyte pretreated for 15 mins measured after 4 hrs by cell migration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152404";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"10.0"
"CHEMBL1321508";"";"None";"273.32";"0";"1.86";"SID85248361";"Nc1nc2ccccc2n1S(=O)(=O)c1ccccc1";"IC50";"'='";"2410.0";"nM";"5.62";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1738077";"PUBCHEM_BIOASSAY: SAR analysis of GM-Tri-DAP induced IL-8 secretion in MCF-7/NOD1 cells. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1575, AID1578, AID2245, AID2504]";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF-7/NOD1";"None";"";"";"";"CHEMBL2157";"Interleukin-8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"2.41"
