node_0.9
CASP1
MYH1
HCST
NLRP3
PYCARD
ACVRL1
MYLPF
MYH8
BMP2
CARD16
NCF2
CYBA
TERB2
RPL10A
TERB1
RPL18A
ENG
TYROBP
EXOSC7
PNPT1
MYH4
VAV1
GNA15
BDKRB2
CBR1
