,Gene
0,ACVRL1
1,KCNA5
2,VWF
3,ENG
4,BMP2
5,ADRA2A
6,HTR3B
7,BDKRB2
8,APBB1IP
9,PYCARD
10,TRAT1
11,RASGRP1
12,FGG
13,VAV1
14,DOCK2
15,APOC1
16,C3
17,C1QB
18,ARHGAP45
19,ASIC2
20,SCNN1G
21,B4GALNT2
22,GNA15
23,KLK1
24,PNOC
25,P2RY2
26,GPR17
27,WNT5A
28,WNT7A
29,ODAM
30,CEMP1
31,DLX5
32,TYROBP
33,FCGR1B
34,FCGRT
35,CARD16
36,GIMAP2
37,NLRP3
38,CASP1
39,CARD6
40,NLRC3
41,NCF2
42,TSPO
43,CBR1
44,HPGDS
45,UGT2B17
46,CLEC3B
47,EXOSC7
48,CLEC4G
49,CNGA1
50,RGS9BP
51,RD3
52,CYBA
53,DEF6
54,DKK4
55,WNT16
56,SIX4
57,MAFB
58,MYO1F
59,DPEP2
60,RNASE6
61,TBXAS1
62,IGFBP7
63,VEGFC
64,PAPOLB
65,PNPT1
66,FABP2
67,MUC2
68,RHD
69,RHCE
70,FCRLB
71,FFAR2
72,TSPAN15
73,GNLY
74,GPIHBP1
75,MAS1
76,GRIA2
77,HCST
78,LST1
79,RPL18A
80,TRPM4
81,RPL10A
82,KCNN4
83,KIR3DL3
84,KL
85,TRIP10
86,RNF5
87,ZNF569
88,ZNF501
89,RGS10
90,RHCG
91,SPTA1
92,RPP21
93,TRIM39
94,TRIM39-RPP21
