node_0.7
VWF
CASP1
DKK4
VAV1
MYH1
TYROBP
BMP2
HCST
ENG
MYH4
RMI1
PYCARD
ACVRL1
MYH8
MYLPF
WNT5A
PNPT1
RPL10A
NCF2
NLRP3
WNT16
WNT7A
CARD16
TERB1
TERB2
