,node1,node2
0,ACVRL1,KCNA5
1,ACVRL1,VWF
2,ACVRL1,ENG
3,ACVRL1,BMP2
4,KCNA5,RPL18A
5,KCNA5,TRPM4
6,KCNA5,RPL10A
7,KCNA5,VWF
8,VWF,APBB1IP
9,VWF,B4GALNT2
10,VWF,BMP2
11,VWF,C1QB
12,VWF,C3
13,VWF,ENG
14,VWF,FGG
15,VWF,GPIHBP1
16,VWF,IGFBP7
17,VWF,MUC2
18,VWF,VEGFC
19,ENG,BMP2
20,ENG,CLEC3B
21,ENG,IGFBP7
22,ENG,VEGFC
23,BMP2,WNT5A
24,BMP2,WNT7A
25,BMP2,ODAM
26,BMP2,CEMP1
27,BMP2,DLX5
28,ADRA2A,HTR3B
29,ADRA2A,BDKRB2
30,HTR3B,GRIA2
31,BDKRB2,C3
32,BDKRB2,GNA15
33,BDKRB2,KLK1
34,BDKRB2,PNOC
35,BDKRB2,P2RY2
36,BDKRB2,GPR17
37,APBB1IP,PYCARD
38,APBB1IP,TRAT1
39,APBB1IP,RASGRP1
40,APBB1IP,FGG
41,APBB1IP,VAV1
42,APBB1IP,DOCK2
43,PYCARD,CARD16
44,PYCARD,CASP1
45,PYCARD,NLRC3
46,PYCARD,NLRP3
47,PYCARD,TSPO
48,PYCARD,TYROBP
49,TRAT1,CASP1
50,TRAT1,TRIM39
51,RASGRP1,VAV1
52,FGG,APOC1
53,FGG,C3
54,FGG,TSPAN15
55,VAV1,ARHGAP45
56,VAV1,CYBA
57,VAV1,DEF6
58,VAV1,DOCK2
59,VAV1,HCST
60,VAV1,MYO1F
61,VAV1,NCF2
62,VAV1,TYROBP
63,DOCK2,MYO1F
64,APOC1,C3
65,APOC1,C1QB
66,C3,C1QB
67,C3,PNOC
68,C3,FCGRT
69,C1QB,TYROBP
70,C1QB,FCGR1B
71,ASIC2,SCNN1G
72,SCNN1G,TRPM4
73,P2RY2,CASP1
74,P2RY2,FFAR2
75,P2RY2,GPR17
76,P2RY2,NLRP3
77,GPR17,MAS1
78,WNT5A,CYBA
79,WNT5A,DKK4
80,WNT5A,KL
81,WNT5A,MAFB
82,WNT5A,VEGFC
83,WNT5A,WNT16
84,WNT5A,WNT7A
85,WNT7A,DKK4
86,WNT7A,KL
87,WNT7A,WNT16
88,DLX5,SIX4
89,DLX5,MAFB
90,TYROBP,CASP1
91,TYROBP,CLEC4G
92,TYROBP,CYBA
93,TYROBP,FCGRT
94,TYROBP,GNLY
95,TYROBP,HCST
96,TYROBP,KIR3DL3
97,TYROBP,LST1
98,TYROBP,MAFB
99,TYROBP,MYO1F
100,TYROBP,NCF2
101,TYROBP,RGS10
102,TYROBP,RNASE6
103,TYROBP,TBXAS1
104,FCGRT,FCRLB
105,CARD16,GIMAP2
106,CARD16,NLRP3
107,CARD16,CASP1
108,NLRP3,CASP1
109,NLRP3,FFAR2
110,NLRP3,ZNF569
111,NLRP3,ZNF501
112,CASP1,CARD6
113,CASP1,NLRC3
114,CASP1,NCF2
115,CASP1,TSPO
116,NLRC3,RNF5
117,NCF2,CYBA
118,NCF2,MYO1F
119,CBR1,HPGDS
120,CBR1,UGT2B17
121,HPGDS,TBXAS1
122,UGT2B17,KL
123,CLEC3B,EXOSC7
124,EXOSC7,PAPOLB
125,EXOSC7,PNPT1
126,CNGA1,RGS9BP
127,CNGA1,RD3
128,RGS9BP,RGS10
129,DKK4,WNT16
130,MYO1F,DPEP2
131,MYO1F,LST1
132,MYO1F,TRIP10
133,MYO1F,TBXAS1
134,DPEP2,RNASE6
135,DPEP2,TBXAS1
136,PAPOLB,PNPT1
137,PNPT1,RPL10A
138,FABP2,MUC2
139,FABP2,RHD
140,FABP2,RHCE
141,MUC2,FFAR2
142,RHD,RHCE
143,RHD,RHCG
144,RHD,SPTA1
145,HCST,LST1
146,RPL18A,RPL10A
147,TRPM4,KCNN4
148,RPP21,TRIM39
149,TRIM39,TRIM39-RPP21
