node_0.15,node_0.4,node_0.7,node_0.9
SST,SST,SYT1,CCK
CCK,NEFL,PRC1,SST
CD3D,CD38,HP,POLR2J
TTR,SYT1,CENPA,CCNB2
DDC,GAD1,CCK,HP
NEFL,GRIA1,GAD1,TAC1
PTK7,CYP4F2,GC,WWTR1
GAD1,PRC1,SST,MRPS16
TUBB3,HP,RPS4Y1,RPA4
CD38,CCK,POLR2J,RPA3
VSNL1,CCNB2,CCNB2,MRPS15
HPRT1,APLNR,INCENP,TEAD3
SYT1,USP9Y,RPA4,CASP5
GRIA1,CENPA,E2F2,AIM2
APLNR,GC,CD79B,E2F2
ROBO3,RPS4Y1,TAC1,RBL1
FGF20,F9,GOT1,CYP4F3
GLI1,INCENP,TTR,CYP4F2
COL4A1,TTR,MRPS15,HPR
NELL1,LTF,POLR2J2,IGHD
SELE,CD79B,POLR2J3,CD79B
STMN2,CD3D,LTF,CENPA
LMNB1,PNOC,PNOC,USP9Y
CCNB2,GLI1,CPB2,RPS4Y1
DHRS7B,POLR2J,CPB1,F10
