#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM8	CACNG3	9606.ENSP00000453302	9606.ENSP00000005284	0	0	0	0	0	0	0	0.259	0.259
ADAM8	CLC	9606.ENSP00000453302	9606.ENSP00000221804	0	0	0	0	0.125	0	0	0.109	0.187
ADAM8	UNC93B1	9606.ENSP00000453302	9606.ENSP00000227471	0	0	0	0	0.149	0	0	0.046	0.153
ADAM8	KLRB1	9606.ENSP00000453302	9606.ENSP00000229402	0	0	0	0	0.137	0	0	0.065	0.159
ADAM8	CD72	9606.ENSP00000453302	9606.ENSP00000259633	0	0	0	0	0.090	0	0	0.107	0.153
ADAM8	CD3D	9606.ENSP00000453302	9606.ENSP00000300692	0	0	0	0	0.072	0	0	0.124	0.152
ADAM8	CXCR2	9606.ENSP00000453302	9606.ENSP00000319635	0	0	0	0	0.192	0	0	0.186	0.315
ADAM8	DPEP1	9606.ENSP00000453302	9606.ENSP00000376807	0	0	0	0	0.055	0	0	0.228	0.240
ADAM8	DOCK2	9606.ENSP00000453302	9606.ENSP00000429283	0	0	0	0	0.124	0	0	0.109	0.187
ADAM8	GTF2H3	9606.ENSP00000453302	9606.ENSP00000445162	0	0	0	0	0	0	0	0.191	0.191
ADAM8	NEFL	9606.ENSP00000453302	9606.ENSP00000482169	0	0	0	0	0	0.045	0	0.154	0.157
AIM2	CD38	9606.ENSP00000357112	9606.ENSP00000226279	0	0	0	0	0.136	0	0	0.103	0.191
AIM2	UNC93B1	9606.ENSP00000357112	9606.ENSP00000227471	0	0	0	0	0.048	0	0	0.375	0.379
AIM2	LTF	9606.ENSP00000357112	9606.ENSP00000231751	0	0	0	0	0.048	0	0	0.160	0.166
AIM2	LMNB1	9606.ENSP00000357112	9606.ENSP00000261366	0	0	0	0	0.119	0	0	0.109	0.182
AIM2	HPRT1	9606.ENSP00000357112	9606.ENSP00000298556	0	0	0	0	0.042	0	0	0.179	0.179
AIM2	CXCR2	9606.ENSP00000357112	9606.ENSP00000319635	0	0	0	0	0.067	0	0	0.181	0.203
AIM2	SELE	9606.ENSP00000357112	9606.ENSP00000331736	0	0	0	0	0.056	0	0	0.150	0.163
AIM2	H3C12	9606.ENSP00000357112	9606.ENSP00000352252	0	0	0	0	0.070	0	0	0.176	0.201
AIM2	CCK	9606.ENSP00000357112	9606.ENSP00000379472	0	0	0	0	0	0	0	0.176	0.175
AIM2	DOCK2	9606.ENSP00000357112	9606.ENSP00000429283	0	0	0	0	0.079	0	0	0.171	0.204
AIM2	SAMD9	9606.ENSP00000357112	9606.ENSP00000369292	0	0	0	0	0.242	0	0	0	0.241
AIM2	FCGR1A	9606.ENSP00000357112	9606.ENSP00000358165	0	0	0	0	0.127	0	0	0.185	0.258
AIM2	IRAK4	9606.ENSP00000357112	9606.ENSP00000479889	0	0	0	0	0.054	0	0	0.352	0.361
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0.884	0.989
AKR1C4	F9	9606.ENSP00000369814	9606.ENSP00000218099	0	0	0	0	0.150	0	0	0	0.150
AKR1C4	CYP4F3	9606.ENSP00000369814	9606.ENSP00000221307	0	0	0	0	0.121	0	0	0.101	0.176
AKR1C4	CYP4F2	9606.ENSP00000369814	9606.ENSP00000221700	0	0	0	0	0.102	0	0	0.094	0.152
AKR1C4	CD3D	9606.ENSP00000369814	9606.ENSP00000300692	0	0	0	0	0.104	0.045	0.098	0.071	0.187
AKR1C4	SAGE1	9606.ENSP00000369814	9606.ENSP00000323191	0	0	0	0	0.043	0	0	0.184	0.185
AKR1C4	CYP3A7	9606.ENSP00000369814	9606.ENSP00000337450	0	0	0	0	0.081	0	0	0.309	0.338
AKR1C4	GOT1	9606.ENSP00000369814	9606.ENSP00000359539	0	0	0	0	0.109	0.069	0	0.065	0.156
AKR1C4	CYP2D6	9606.ENSP00000369814	9606.ENSP00000496150	0	0	0	0	0.068	0.045	0	0.122	0.151
AKR1C4	DHRS7B	9606.ENSP00000369814	9606.ENSP00000378887	0	0	0	0	0.104	0.045	0.098	0.083	0.197
AKR1C4	DMRT1	9606.ENSP00000369814	9606.ENSP00000371711	0	0	0	0	0	0.046	0	0.226	0.230
AKR1C4	ENSP00000480571	9606.ENSP00000369814	9606.ENSP00000480571	0	0	0	0	0.111	0.045	0	0.280	0.335
ANKRD1	COMP	9606.ENSP00000360762	9606.ENSP00000222271	0	0	0	0	0.086	0.098	0	0.073	0.169
ANKRD1	TTR	9606.ENSP00000360762	9606.ENSP00000237014	0	0	0	0	0	0.052	0	0.261	0.270
ANKRD1	INHBA	9606.ENSP00000360762	9606.ENSP00000242208	0	0	0	0	0.083	0	0	0.208	0.243
ANKRD1	PLK2	9606.ENSP00000360762	9606.ENSP00000274289	0	0	0	0	0.072	0.087	0	0.078	0.150
ANKRD1	JPH3	9606.ENSP00000360762	9606.ENSP00000284262	0	0	0	0	0.113	0.093	0	0	0.161
ANKRD1	CCNB2	9606.ENSP00000360762	9606.ENSP00000288207	0	0	0	0	0	0.091	0	0.132	0.177
ANKRD1	HPRT1	9606.ENSP00000360762	9606.ENSP00000298556	0	0	0	0	0	0.113	0	0.148	0.212
ANKRD1	CD3D	9606.ENSP00000360762	9606.ENSP00000300692	0	0	0	0	0.047	0.099	0.098	0.048	0.164
ANKRD1	KANK3	9606.ENSP00000360762	9606.ENSP00000328923	0	0	0.119	0.580	0.042	0	0	0.080	0.156
ANKRD1	EMC10	9606.ENSP00000360762	9606.ENSP00000334037	0	0	0	0	0	0	0	0.382	0.382
