node_0.4
SST
NEFL
CD38
SYT1
GAD1
GRIA1
CYP4F2
PRC1
HP
CCK
CCNB2
APLNR
USP9Y
CENPA
GC
RPS4Y1
F9
INCENP
TTR
LTF
CD79B
CD3D
PNOC
GLI1
POLR2J
