node_0.15
SST
CCK
CD3D
TTR
DDC
NEFL
PTK7
GAD1
TUBB3
CD38
VSNL1
HPRT1
SYT1
GRIA1
APLNR
ROBO3
FGF20
GLI1
COL4A1
NELL1
SELE
STMN2
LMNB1
CCNB2
DHRS7B
