,node1,node2
0,APLNR,PRLH
1,APLNR,SST
2,APLNR,PNOC
3,APLNR,P2RY14
4,APLNR,GALR2
5,APLNR,AVPR2
6,PRLH,CCK
7,PRLH,GRAP
8,SST,AVPR2
9,SST,CCK
10,SST,CNR1
11,SST,DDC
12,SST,FOLH1
13,SST,GAD1
14,SST,GALR2
15,SST,GCK
16,SST,GPR22
17,SST,GRIA1
18,SST,IFNA8
19,SST,PNOC
20,SST,TTR
21,SST,TAC1
22,PNOC,CCK
23,PNOC,GALR2
24,PNOC,NEFL
25,PNOC,TAC1
26,P2RY14,CD38
27,GALR2,TAC1
28,AVPR2,TFDP3
29,ATP6V1G2,DOCK3
30,ATP6V1G2,JPH3
31,DOCK3,SYT1
32,TFDP3,E2F2
33,TFDP3,RBL1
34,BAIAP2L2,LMNB1
35,LMNB1,CCK
36,LMNB1,CENPA
37,LMNB1,RPA3
38,LMNB1,PRC1
39,LMNB1,NUP93
40,CABP1,VSNL1
41,VSNL1,NEFL
42,VSNL1,SYT1
43,CACNA1E,CACNG3
44,CACNG3,GRIA1
45,GRIA1,CNR1
46,GRIA1,CXCR2
47,GRIA1,EPB41
48,GRIA1,GAD1
49,GRIA1,SYT1
50,GRIA1,TUBB3
51,GRIA1,NETO2
52,GRIA1,NEFL
53,CCK,TAC1
54,CCK,GAD1
55,CCK,CNR1
56,CCK,PTK7
57,TAC1,CNR1
58,TAC1,CRLF2
59,TAC1,GAD1
60,GAD1,CNR1
61,GAD1,SYT1
62,GAD1,TUBB3
63,GAD1,STMN2
64,GAD1,NEFL
65,GAD1,GOT1
66,PTK7,FOLH1
67,PTK7,LRIT1
68,CCNB2,PLK2
69,CCNB2,NUP93
70,CCNB2,E2F2
71,CCNB2,INCENP
72,CCNB2,PRC1
73,CCNB2,CENPA
74,PLK2,INCENP
75,PLK2,PRC1
76,PLK2,RAD21L1
77,NUP93,GCK
78,NUP93,GOT1
79,NUP93,INCENP
80,E2F2,RBL1
81,INCENP,CENPA
82,INCENP,PRC1
83,INCENP,KIFC3
84,PRC1,CENPA
85,CENPA,TUBB3
86,CENPA,EMC10
87,CENPA,LTB4R
88,CD38,CD72
89,CD38,FOLH1
90,CD38,KLRB1
91,CD38,CD79B
92,CD38,SELE
93,CD38,FCGR1A
94,CD72,CD79B
95,FOLH1,FOLR3
96,KLRB1,CD3D
97,KLRB1,CRTAM
98,KLRB1,KIR3DL1
99,CD79B,CD3D
100,CD79B,GRAP
101,CD79B,IGHD
102,SELE,CXCR2
103,SELE,TTR
104,FCGR1A,CXCR2
105,CD3D,CRTAM
106,CD3D,SIT1
107,CD3D,LILRA4
108,GRAP,DOK2
109,CDH13,HP
110,HP,CPB2
111,HP,GC
112,HP,HBE1
113,HP,LTF
114,HP,TTR
115,HP,HPR
116,TUBB3,GLI1
117,TUBB3,HPRT1
118,TUBB3,NEFL
119,TUBB3,STMN2
120,CITED1,RBL1
121,CNTLN,EPB41
122,COL4A1,COL5A2
123,COL4A1,F10
124,F10,CPB2
125,F10,F9
126,COMP,TTR
127,COMP,EPYC
128,TTR,F9
129,TTR,GC
130,TTR,LRAT
131,TTR,LTF
132,TTR,ONECUT1
133,CPB1,CPB2
134,CPB1,LTF
135,CPB2,GC
136,CPB2,HPR
137,CPB2,F9
138,LTF,CXCR2
139,LTF,ERMAP
140,LTF,GC
141,LTF,SCGB2A1
142,GC,CYP27B1
143,GC,HPR
144,F9,CYP4F2
145,F9,HPRT1
146,CRLF2,IFNA8
147,IFNA8,ELAVL2
148,CYP27B1,CYP2D6
149,CYP2D6,CYP4F3
150,CYP2D6,CYP4F2
151,CYP2D6,SLC47A1
152,CYP2D6,CYP3A7
153,CYP2D6,CYP4F12
154,CYP4F3,CYP3A7
155,CYP4F3,CYP4F2
156,CYP4F2,CYP3A7
157,CYP4F2,CYP4F12
158,CYP3A7,CYP4F12
159,DDC,GOT1
160,SYT1,NEFL
161,SYT1,NELL1
162,SYT1,STMN2
163,SYT1,STON1
164,SYT1,SYNGR3
165,ERMAP,SLC14A1
166,HPRT1,PDE9A
167,FGF20,GLI1
168,GLI1,FOXO4
169,GLI1,RAB23
170,FOLR3,MCTP1
171,STMN2,NEFL
172,NEFL,GDAP1
173,NEFL,PRX
174,GCK,SI
175,GCK,ONECUT1
176,GDAP1,PRX
177,GLRA1,GLRB
178,GLRB,SYNGR3
179,GTF2H3,RPA3
180,GTF2H3,POLR2J
181,GTF2H3,POLR2J2
182,GTF2H3,POLR2J3
183,RPA3,TOP3B
184,RPA3,RPA4
185,POLR2J,HOXB1
186,POLR2J,PAGR1
187,POLR2J,POLR2J3
188,POLR2J,POLR2J2
189,POLR2J2,POLR2J3
190,HHLA2,KIR3DL1
191,HOXB1,HOXB9
192,HOXB1,PAGR1
193,HOXB1,ROBO3
194,ROBO3,NELL1
195,ROBO3,RPS4Y1
196,LRAT,RBP3
197,RBP3,PDC
198,MPV17,MRPS16
199,MRPS16,MRPS15
200,MRPS15,RPS4Y1
201,MRPS15,RSRC1
202,RPS4Y1,VCY1B
203,RPS4Y1,VCY
204,RPS4Y1,RSRC1
205,RPS4Y1,USP9Y
206,RSRC1,TSSC4
207,TOP3B,RPA4
208,VCY1B,USP9Y
209,VCY,USP9Y
