node_0.7
SYT1
PRC1
HP
CENPA
CCK
GAD1
GC
SST
RPS4Y1
POLR2J
CCNB2
INCENP
RPA4
E2F2
CD79B
TAC1
GOT1
TTR
MRPS15
POLR2J2
POLR2J3
LTF
PNOC
CPB2
CPB1
