node_0.9
CCK
SST
POLR2J
CCNB2
HP
TAC1
WWTR1
MRPS16
RPA4
RPA3
MRPS15
TEAD3
CASP5
AIM2
E2F2
RBL1
CYP4F3
CYP4F2
HPR
IGHD
CD79B
CENPA
USP9Y
RPS4Y1
F10
