node_0.4
EGFR
ALB
SNAP25
BDNF
GNG2
CCL2
TLR4
ITGB2
CXCR4
TLR2
SNCA
SYP
SST
FOS
GNG13
NPY
GFAP
KIT
IGF1
NEFL
GAD2
HCLS1
CD68
C3
GAD1
