node_0.7
EGFR
GNG2
TLR4
SNAP25
ALB
CCL2
BDNF
CXCR4
TLR2
SST
IGF1
NPY
ITGB2
C3
SYP
FOS
SNCA
KIT
SYN1
CHGA
CD163
CCR5
GNG13
GAD2
FLT1
