#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AANAT	SLC7A2	9606.ENSP00000250615	9606.ENSP00000004531	0	0	0	0	0	0	0	0.154	0.154
AANAT	CRYM	9606.ENSP00000250615	9606.ENSP00000219599	0.041	0	0	0	0	0	0	0.154	0.153
AANAT	SLC1A6	9606.ENSP00000250615	9606.ENSP00000221742	0	0	0	0	0.068	0	0	0.268	0.289
AANAT	HSD17B1	9606.ENSP00000250615	9606.ENSP00000225929	0	0	0	0	0.075	0.078	0	0.101	0.166
AANAT	GUCA1B	9606.ENSP00000250615	9606.ENSP00000230361	0	0	0	0	0.200	0	0	0.049	0.207
AANAT	SPR	9606.ENSP00000250615	9606.ENSP00000234454	0	0	0	0	0	0.078	0	0.125	0.159
AANAT	YWHAH	9606.ENSP00000250615	9606.ENSP00000248975	0	0	0	0	0	0.069	0	0.386	0.403
AANAT	MCHR1	9606.ENSP00000250615	9606.ENSP00000249016	0	0	0	0	0	0	0	0.193	0.193
AANAT	ACOT4	9606.ENSP00000250615	9606.ENSP00000323071	0.053	0	0	0	0.045	0	0	0.139	0.153
AANAT	PROK2	9606.ENSP00000250615	9606.ENSP00000295619	0	0	0	0	0	0	0	0.155	0.155
AANAT	TAC1	9606.ENSP00000250615	9606.ENSP00000321106	0	0	0	0	0.055	0	0	0.145	0.157
AANAT	ARHGAP44	9606.ENSP00000250615	9606.ENSP00000368994	0	0	0	0	0	0	0	0.160	0.159
AANAT	HPRT1	9606.ENSP00000250615	9606.ENSP00000298556	0	0	0	0	0.061	0	0	0.145	0.163
AANAT	ROM1	9606.ENSP00000250615	9606.ENSP00000278833	0	0	0	0	0.100	0	0	0.112	0.166
AANAT	CPNE4	9606.ENSP00000250615	9606.ENSP00000478878	0	0	0	0	0	0	0	0.181	0.181
AANAT	ALB	9606.ENSP00000250615	9606.ENSP00000295897	0	0	0	0	0	0	0	0.184	0.183
AANAT	TLR4	9606.ENSP00000250615	9606.ENSP00000363089	0	0	0	0	0	0.046	0	0.180	0.184
AANAT	NACC2	9606.ENSP00000250615	9606.ENSP00000277554	0	0	0	0	0	0.184	0	0	0.184
AANAT	MAP1A	9606.ENSP00000250615	9606.ENSP00000300231	0	0	0	0	0	0	0	0.187	0.187
AANAT	HS3ST2	9606.ENSP00000250615	9606.ENSP00000261374	0	0	0	0	0.067	0	0	0.166	0.188
AANAT	SFN	9606.ENSP00000250615	9606.ENSP00000340989	0	0	0	0	0	0.069	0	0.166	0.190
AANAT	GAD2	9606.ENSP00000250615	9606.ENSP00000365437	0	0	0	0	0	0.046	0.107	0.127	0.192
AANAT	SST	9606.ENSP00000250615	9606.ENSP00000287641	0	0	0	0	0	0	0	0.192	0.192
AANAT	IGF1	9606.ENSP00000250615	9606.ENSP00000376637	0	0	0	0	0	0	0	0.196	0.196
AANAT	SLC7A7	9606.ENSP00000250615	9606.ENSP00000380666	0	0	0	0	0	0	0	0.200	0.200
AANAT	NPY	9606.ENSP00000250615	9606.ENSP00000384364	0	0	0	0	0	0	0	0.200	0.200
AANAT	FAT2	9606.ENSP00000250615	9606.ENSP00000261800	0	0	0	0	0.044	0	0	0.203	0.205
AANAT	CRH	9606.ENSP00000250615	9606.ENSP00000276571	0	0	0	0	0.086	0	0	0.167	0.206
AANAT	MS4A6A	9606.ENSP00000250615	9606.ENSP00000435844	0	0	0	0	0	0	0	0.210	0.210
AANAT	QDPR	9606.ENSP00000250615	9606.ENSP00000281243	0	0	0	0	0	0.078	0	0.181	0.213
AANAT	GAD1	9606.ENSP00000250615	9606.ENSP00000350928	0	0	0	0	0	0.046	0.107	0.152	0.215
AANAT	FOSL2	9606.ENSP00000250615	9606.ENSP00000264716	0	0	0	0	0.057	0.063	0	0.184	0.216
AANAT	PXDNL	9606.ENSP00000250615	9606.ENSP00000348645	0	0	0	0	0.055	0	0	0.205	0.217
