,node1,node2
0,AANAT,YWHAH
1,AANAT,HDC
2,AANAT,FOS
3,YWHAH,ACTA1
4,YWHAH,CAMKK1
5,YWHAH,KIF1C
6,YWHAH,PNMA2
7,YWHAH,PTPN3
8,YWHAH,RAB3A
9,YWHAH,SFN
10,YWHAH,SNCA
11,YWHAH,TNFAIP3
12,YWHAH,UNC13A
13,YWHAH,WASF1
14,YWHAH,ZFP36L2
15,HDC,ADAMTS1
16,HDC,CCKBR
17,HDC,CHGA
18,HDC,FCER1A
19,HDC,GATA2
20,HDC,NPY
21,HDC,SST
22,FOS,ADCYAP1
23,FOS,ALB
24,FOS,BATF
25,FOS,BCL3
26,FOS,BCL6B
27,FOS,BDNF
28,FOS,BTC
29,FOS,CALB1
30,FOS,CAMK4
31,FOS,CARTPT
32,FOS,CCK
33,FOS,CCL2
34,FOS,CCNB1
35,FOS,CCR1
36,FOS,CDK5
37,FOS,CIRBP
38,FOS,CISH
39,FOS,CNR1
40,FOS,CRH
41,FOS,CXCR4
42,FOS,DGAT2
43,FOS,DUSP2
44,FOS,EGFR
45,FOS,EGR1
46,FOS,EGR2
47,FOS,EGR4
48,FOS,ELAVL4
49,FOS,FGF13
50,FOS,FGF9
51,FOS,FLT1
52,FOS,HMOX1
53,FOS,PVALB
54,FOS,SLC32A1
55,FOS,FOSB
56,FOS,GFAP
57,FOS,GRP
58,FOS,TLR2
59,FOS,SLC17A6
60,FOS,SYP
61,FOS,FOSL2
62,FOS,HTR2C
63,FOS,SST
64,FOS,PROK2
65,FOS,SYN1
66,FOS,HPRT1
67,FOS,PNOC
68,FOS,RGS1
69,FOS,SYN2
70,FOS,TAC3
71,FOS,NOS2
72,FOS,MET
73,FOS,FPR3
74,FOS,TNFAIP3
75,FOS,HSPA1A
76,FOS,SPP1
77,FOS,GAD2
78,FOS,HTR2A
79,FOS,VIP
80,FOS,HSPA1B
81,FOS,IGF1
82,FOS,TLR4
83,FOS,GAD1
84,FOS,MEF2C
85,FOS,IRF7
86,FOS,SOCS3
87,FOS,NFE2
88,FOS,TAC1
89,FOS,GATA2
90,FOS,NPY
91,FOS,PXDNL
92,FOS,MAFF
93,FOS,ZFP36
94,ABCC3,SLC10A1
95,ABCC3,SLCO4A1
96,ABCC3,SLC22A9
97,ABCC3,DSE
98,ABCC3,CYP2C8
99,ABCC3,SLC22A6
100,ABCC3,ABCG4
101,SLC10A1,ALB
102,SLC10A1,CYP2C8
103,SLC10A1,EGFR
104,SLC10A1,LIPC
105,SLC10A1,PLD3
106,SLC10A1,SLC27A2
107,SLC10A1,SLC22A6
108,SLC10A1,SLC22A9
109,SLC10A1,SLCO4A1
110,SLCO4A1,SLC22A10
111,SLCO4A1,SLC22A6
112,SLCO4A1,SLC22A9
113,SLC22A9,SLC22A10
114,DSE,CHPF
115,CYP2C8,ALB
116,CYP2C8,QDPR
117,CYP2C8,GSTO2
118,CYP2C8,GSTM4
119,CYP2C8,GSTA4
120,CYP2C8,CYP4X1
121,SLC22A6,SLC7A7
122,ACOT4,ACOT7
123,ACOT7,GABRA1
124,GABRA1,AP3B2
125,GABRA1,BDNF
126,GABRA1,BTC
127,GABRA1,CACNG3
128,GABRA1,CHRM1
129,GABRA1,CHRM3
130,GABRA1,CHRNB2
131,GABRA1,GABBR2
132,GABRA1,STX1B
133,GABRA1,PVALB
134,GABRA1,SLC32A1
135,GABRA1,RAB3A
136,GABRA1,GFAP
137,GABRA1,SNAP25
138,GABRA1,SYT4
139,GABRA1,SLC17A6
140,GABRA1,GABRA4
141,GABRA1,GABRB2
142,GABRA1,HTR2C
143,GABRA1,GRIA4
144,GABRA1,HTR5A
145,GABRA1,SYN1
146,GABRA1,SCN8A
147,GABRA1,GRM7
148,GABRA1,GAD1
149,GABRA1,GABRE
150,GABRA1,STXBP1
151,GABRA1,GAD2
152,GABRA1,GABRD
153,GABRA1,KCNC2
154,GABRA1,HTR2A
155,GABRA1,NEFL
156,GABRA1,GABRG2
157,ACTA1,CAP2
158,ACTA1,INHA
159,ACTA1,VASP
160,ACTA1,TUBA4A
161,ACTA1,UNC45B
162,ACTA1,EGFR
163,ACTA1,KIT
164,ACTA1,ALB
165,ACTA1,SCIN
166,ACTA1,PGAM2
167,ACTA1,TCAP
168,ACTA1,ACTN2
169,ACTA1,CRYAB
170,ACTA1,SMPX
171,ACTA1,CASQ1
172,ACTA1,SLA
173,ACTA1,MYO10
174,ACTA1,LCP1
175,CAP2,PFN2
176,CAP2,RBM24
177,INHA,CYP17A1
178,INHA,INSL3
179,INHA,KIT
180,VASP,EGFR
181,VASP,GRB14
182,VASP,HCLS1
183,VASP,ITGA10
184,VASP,KIT
185,VASP,MYO10
186,VASP,PFN2
187,VASP,ROBO2
188,VASP,SCIN
189,VASP,WASF1
190,TUBA4A,ATP1B1
191,TUBA4A,CCT6B
192,TUBA4A,DYNC1I1
193,TUBA4A,EEF1A2
194,TUBA4A,EFHB
195,TUBA4A,EGFR
196,TUBA4A,HPRT1
197,TUBA4A,HSPA1B
198,TUBA4A,KCNE4
199,TUBA4A,MCHR1
200,TUBA4A,STMN1
201,TUBA4A,TAGLN2
202,TUBA4A,TUBA3C
203,TUBA4A,VSNL1
204,TUBA4A,TUBB3
205,TUBA4A,TUBB2A
206,UNC45B,ACTN2
207,UNC45B,BAG3
208,UNC45B,FBXO40
209,UNC45B,MYO1F
210,UNC45B,SMPX
211,EGFR,ALB
212,EGFR,ANGPT1
213,EGFR,ANGPT2
214,EGFR,ANLN
215,EGFR,APLNR
216,EGFR,ATP6V1E1
217,EGFR,ATP6V1G2
218,EGFR,BDNF
219,EGFR,BIRC3
220,EGFR,BTC
221,EGFR,CCK
222,EGFR,CCL2
223,EGFR,CCNB1
224,EGFR,CCR5
225,EGFR,CD163
226,EGFR,CD68
227,EGFR,CD86
228,EGFR,CDK5
229,EGFR,CHGA
230,EGFR,CISH
231,EGFR,CXCR4
232,EGFR,DLX2
233,EGFR,EFNA1
234,EGFR,EFNA3
235,EGFR,HMOX1
236,EGFR,PVALB
237,EGFR,SFRP1
238,EGFR,HSD17B1
239,EGFR,EGR1
240,EGFR,FLT3
241,EGFR,EGR2
242,EGFR,HSPB1
243,EGFR,VGF
244,EGFR,ISLR
245,EGFR,KRT5
246,EGFR,GDF15
247,EGFR,GFAP
248,EGFR,SNAP25
249,EGFR,GRP
250,EGFR,TLR2
251,EGFR,SYP
252,EGFR,VAMP8
253,EGFR,GRB14
254,EGFR,TCIRG1
255,EGFR,FCGR2A
256,EGFR,LAIR1
257,EGFR,WIF1
258,EGFR,NUPR1
259,EGFR,PMAIP1
260,EGFR,KIT
261,EGFR,MBTPS2
262,EGFR,TUBB3
263,EGFR,HCLS1
264,EGFR,HSPB3
265,EGFR,TUBB2A
266,EGFR,FGF12
267,EGFR,HSPA1A
268,EGFR,FPR1
269,EGFR,INSM1
270,EGFR,RHBDF2
271,EGFR,HIP1
272,EGFR,STMN1
273,EGFR,SFTPD
274,EGFR,TNFRSF10B
275,EGFR,PTPN3
276,EGFR,FLT1
277,EGFR,LINGO1
278,EGFR,LPAR1
279,EGFR,EPHB4
280,EGFR,ENO2
281,EGFR,S100A12
282,EGFR,TGFB2
283,EGFR,ITGB2
284,EGFR,SNCA
285,EGFR,TLR4
286,EGFR,PXDNL
287,EGFR,RNF41
288,EGFR,SLA
289,EGFR,SPP1
290,EGFR,S100A10
291,EGFR,RET
292,EGFR,UCHL1
293,EGFR,SOCS3
294,EGFR,S100A4
295,EGFR,FGF13
296,EGFR,NNMT
297,EGFR,SFN
298,EGFR,IGLL5
299,EGFR,HSPA1B
300,EGFR,FGF9
301,EGFR,SH3GL2
302,EGFR,IGF1
303,EGFR,MET
304,KIT,ALB
305,KIT,ANGPT1
306,KIT,ANGPT2
307,KIT,ASXL1
308,KIT,BDNF
309,KIT,CCK
310,KIT,CCL2
311,KIT,CCR1
312,KIT,CD163
313,KIT,CD200
314,KIT,CD68
315,KIT,CD86
316,KIT,CHGA
317,KIT,CXCR4
318,KIT,EFNA1
319,KIT,EFNA3
320,KIT,ENO2
321,KIT,FCER1A
322,KIT,FCGR2A
323,KIT,FGF12
324,KIT,FGF13
325,KIT,FGF9
326,KIT,GATA2
327,KIT,GFAP
328,KIT,HLA-DRB5
329,KIT,HMOX1
330,KIT,HPRT1
331,KIT,IGF1
332,KIT,IL1RL1
333,KIT,IL3RA
334,KIT,INPP5D
335,KIT,ITGB2
336,KIT,KRT5
337,KIT,LYVE1
338,KIT,SYP
339,KIT,THY1
340,KIT,UCHL1
341,KIT,WIF1
342,KIT,OCA2
343,KIT,TAC1
344,KIT,SPP1
345,KIT,MEF2C
346,KIT,TLR4
347,KIT,TYRP1
348,KIT,MET
349,KIT,PXDNL
350,ALB,HMOX1
351,ALB,PVALB
352,ALB,CHGA
353,ALB,EEF1A2
354,ALB,CCL2
355,ALB,LTF
356,ALB,EGR1
357,ALB,C3
