node_0.9
GNG2
SNAP25
C3
EGFR
TAC1
VIP
FOS
SST
HSPA1B
CCR5
NPY
TLR4
TLR2
C4A
CCL2
ITGB2
STXBP1
CXCR4
C1QA
SYP
CHGA
RAB3A
VAMP8
VSIG4
S100A8
