node_0.15,node_0.4,node_0.7,node_0.9
EGFR,EGFR,EGFR,GNG2
ALB,ALB,GNG2,SNAP25
SNAP25,SNAP25,TLR4,C3
GFAP,BDNF,SNAP25,EGFR
NEFL,GNG2,ALB,TAC1
SLC32A1,CCL2,CCL2,VIP
PVALB,TLR4,BDNF,FOS
FOS,ITGB2,CXCR4,SST
BDNF,CXCR4,TLR2,HSPA1B
CCK,TLR2,SST,CCR5
NME5,SNCA,IGF1,NPY
SST,SYP,NPY,TLR4
ATP1A3,SST,ITGB2,TLR2
GAD2,FOS,C3,C4A
TLR4,GNG13,SYP,CCL2
VSNL1,NPY,FOS,ITGB2
SYN1,GFAP,SNCA,STXBP1
DIRAS2,KIT,KIT,CXCR4
GAD1,IGF1,SYN1,C1QA
PXDNL,NEFL,CHGA,SYP
NEFM,GAD2,CD163,CHGA
SYP,HCLS1,CCR5,RAB3A
CCL2,CD68,GNG13,VAMP8
GAP43,C3,GAD2,VSIG4
STMN2,GAD1,FLT1,S100A8
