#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AANAT	YWHAH	9606.ENSP00000250615	9606.ENSP00000248975	0	0	0	0	0	0.069	0	0.386	0.403
AANAT	HDC	9606.ENSP00000250615	9606.ENSP00000267845	0	0	0	0	0	0.046	0.163	0.347	0.433
AANAT	FOS	9606.ENSP00000250615	9606.ENSP00000306245	0	0	0	0	0.057	0.063	0	0.457	0.478
ABCC3	SLC10A1	9606.ENSP00000285238	9606.ENSP00000216540	0	0	0	0	0.098	0	0	0.732	0.748
ABCC3	SLCO4A1	9606.ENSP00000285238	9606.ENSP00000217159	0	0	0	0	0.042	0	0	0.582	0.583
ABCC3	SLC22A9	9606.ENSP00000285238	9606.ENSP00000279178	0	0	0	0	0.056	0.070	0	0.489	0.513
ABCC3	DSE	9606.ENSP00000285238	9606.ENSP00000494147	0	0	0	0	0.049	0	0	0.398	0.403
ABCC3	CYP2C8	9606.ENSP00000285238	9606.ENSP00000360317	0	0	0	0	0.093	0.050	0	0.386	0.425
ABCC3	SLC22A6	9606.ENSP00000285238	9606.ENSP00000367102	0	0	0	0	0.056	0.070	0	0.398	0.426
ABCC3	ABCG4	9606.ENSP00000285238	9606.ENSP00000481728	0	0	0	0	0.057	0.100	0	0.423	0.468
ABCC3	SLC51B	9606.ENSP00000285238	9606.ENSP00000335292	0	0	0	0	0.077	0	0	0.808	0.815
ACOT4	ACOT7	9606.ENSP00000323071	9606.ENSP00000367086	0	0	0	0	0.072	0	0.900	0.461	0.945
ACOT7	GABRA1	9606.ENSP00000367086	9606.ENSP00000393097	0	0	0	0	0.047	0	0	0.546	0.548
ACTA1	CAP2	9606.ENSP00000355645	9606.ENSP00000229922	0	0	0	0	0.116	0.419	0	0.192	0.549
ACTA1	INHA	9606.ENSP00000355645	9606.ENSP00000243786	0	0	0	0	0	0	0	0.440	0.440
ACTA1	VASP	9606.ENSP00000355645	9606.ENSP00000245932	0	0	0	0	0.067	0.900	0	0.982	0.998
ACTA1	TUBA4A	9606.ENSP00000355645	9606.ENSP00000248437	0	0	0.203	0	0.056	0.136	0	0.211	0.419
ACTA1	YWHAH	9606.ENSP00000355645	9606.ENSP00000248975	0	0	0.324	0	0.093	0.068	0	0.101	0.417
ACTA1	UNC45B	9606.ENSP00000355645	9606.ENSP00000268876	0	0	0	0	0.239	0.099	0	0.219	0.418
ACTA1	EGFR	9606.ENSP00000355645	9606.ENSP00000275493	0	0	0	0	0	0.292	0	0.220	0.424
