,Gene
0,AANAT
1,YWHAH
2,HDC
3,FOS
4,ABCC3
5,SLC10A1
6,SLCO4A1
7,SLC22A9
8,DSE
9,CYP2C8
10,SLC22A6
11,ABCG4
12,ACOT4
13,ACOT7
14,GABRA1
15,ACTA1
16,CAP2
17,INHA
18,VASP
19,TUBA4A
20,UNC45B
21,EGFR
22,KIT
23,ALB
24,SCIN
25,PGAM2
26,TCAP
27,ACTN2
28,CRYAB
29,SMPX
30,CASQ1
31,SLA
32,MYO10
33,LCP1
34,PVALB
35,CACNG1
36,PDLIM4
37,GRIA4
38,MEF2C
39,MYLK3
40,TAGLN2
41,TAGLN3
42,NEFL
43,ADAMTS1
44,VGF
45,ADAMTS3
46,COL24A1
47,ADCY1
48,GNG13
49,CAMK4
50,GNG3
51,SCN8A
52,KCNC2
53,CCKBR
54,KCNJ6
55,ENTPD3
56,ADCY2
57,PDE1A
58,GNG2
59,CNR1
60,S1PR3
61,ADCYAP1
62,AKAP5
63,SLC32A1
64,SNAP25
65,GRP
66,SLC17A6
67,CBLN2
68,CRH
69,SST
70,CARTPT
71,SCG2
72,TAC1
73,VIPR1
74,VIP
75,ATP1B1
76,INSL3
77,GAP43
78,CCK
79,NPY
80,BDNF
81,NELL2
82,ADRA1B
83,HTR3B
84,CXCR4
85,ADRA1D
86,LILRB1
87,HCLS1
88,HTR2A
89,AEBP1
90,LRRTM4
91,CACNG3
92,CABP1
93,MAP2
94,WASF1
95,ROBO2
96,HMOX1
97,CHGA
98,EEF1A2
99,CCL2
100,LTF
101,EGR1
102,C3
103,HSPB1
104,CD68
105,KRT5
106,GDF15
107,GFAP
108,SERPINF1
109,CHI3L1
110,LYVE1
111,CCNB1
112,TLR2
113,SYP
114,CP
115,CALB1
116,FCGR2A
117,FLT1
118,THY1
119,UCHL1
120,LY96
121,CCR5
122,AZGP1
123,PCK1
124,HSPA1B
125,SYN2
126,SOCS3
127,S100A4
128,CFD
129,LIPC
130,RET
131,CPB1
132,RNASE3
133,AQP1
134,ANGPT1
135,GAD2
136,TGFB2
137,NLRP3
138,MAP1A
139,IGLL5
140,TYRP1
141,NOS2
142,OCA2
143,TUBB3
144,SYN1
145,MET
146,GAD1
147,C4B
148,GOT1
149,PPBP
150,C4A
151,CA10
152,CD163
153,STAB1
154,HPRT1
155,SNCA
156,FGF13
157,SFTPD
158,HSPB3
159,S100A8
160,ANGPT2
161,PIGR
162,ITGB2
163,ENO2
164,CD86
165,FGF9
166,PF4
167,RBP4
168,SPP1
169,TLR4
170,IGF1
171,SERPINA3
172,PXDNL
173,ALKBH1
174,ASB2
175,YTHDC1
176,ALKBH6
177,ALOX5AP
178,SRGN
179,S100A12
180,C1QA
181,FPR1
182,AMPH
183,PFN2
184,STAR
185,TRIP10
186,STON2
187,SRGAP3
188,CHN1
189,GAS7
190,ELAVL4
191,CDK5
192,PACSIN1
193,CNTNAP2
194,PNMA2
195,SH3GL2
196,FLT3
197,GRB14
198,EPHB4
199,EFNA3
200,LPAR1
201,ANGPTL4
202,B4GALT6
203,SLC16A6
204,BTC
205,ANKRD34A
206,SYNGR3
207,KRT222
208,PNMA6A
209,ANKRD55
210,ANLN
211,CHAF1B
212,BASP1
213,TK1
214,ZWILCH
215,UBE2T
216,PRC1
217,ANO3
218,ARPP21
219,ATP1A3
220,AP3B2
221,CAMK1G
222,FSD2
223,APLNR
224,MCHR1
225,NMU
226,SSTR1
227,MCHR2
228,PNOC
229,C5AR1
230,RHCE
231,GK5
232,SLC4A10
233,ARHGAP44
234,BST2
235,ARHGDIG
236,RHOJ
237,RHOV
238,ARL9
239,RASL11B
240,ARMCX5
241,GPRASP2
242,SLC8A2
243,LINGO1
244,SV2B
245,ARX
246,NEUROD1
247,STXBP1
248,CCDC102A
249,CISH
250,ASXL1
251,GATA2
252,ATL1
253,RTN1
254,KIF1C
255,BSCL2
256,GBP2
257,REEP1
258,ATOH7
259,HES5
260,KCNS1
261,STX1B
262,FXYD7
263,HTR2C
264,ATP6V1E1
265,VSNL1
266,TCIRG1
267,ATP6V1G2
268,RAB3A
269,DOCK3
270,BSN
271,ATXN3L
272,SLC27A2
273,SLC45A3
274,B3GNT4
275,MUCL1
276,UGT8
277,BACE2
278,UBE2N
