,Gene
279,SEZ6L2
280,BAG3
281,NAP1L5
282,CCT6B
283,HSPA1A
284,STMN2
285,BATF
286,HLF
287,DLX2
288,EGR2
289,IFI30
290,STAT4
291,RUNX3
292,BCAS1
293,BCL3
294,FOSL2
295,BIRC3
296,TNFAIP3
297,BCL6B
298,SULT4A1
299,EFNB3
300,GDA
301,FOSB
302,GABBR2
303,GABRA4
304,NPTX2
305,NEUROD6
306,PCSK1
307,GRM7
308,SYNPR
309,NRXN3
310,CDNF
311,BEX1
312,RGS7
313,BEX5
314,GPRASP1
315,BEX2
316,BFSP1
317,CRYGN
318,PMAIP1
319,MLKL
320,TNFRSF10B
321,TNFSF14
322,GLMN
323,TNFRSF12A
324,BOK
325,DGAT2
326,STX1A
327,PPFIA3
328,CPLX1
329,TMEM169
330,UNC13A
331,SYBU
332,IL3RA
333,SIGLEC1
334,IRF7
335,VAMP8
336,GABRB2
337,NKX6-2
338,PTPN3
339,GABRG2
340,BTN3A1
341,SLAMF8
342,CCR1
343,C1QB
344,MS4A4A
345,C1QC
346,LILRB5
347,IL18R1
348,MYO1F
349,MS4A6A
350,VSIG4
351,LAIR1
352,FPR3
353,ITGAL
354,C1QL3
355,CDH9
356,MYBPH
357,HLA-DQA1
358,HLA-DRB5
359,STX2
360,C4orf45
361,PGM2L1
362,S1PR4
363,GLS2
364,C6orf118
365,FOXJ1
366,C7orf61
367,ROPN1
368,MS4A14
369,SYT4
370,HTR5A
371,PHYHIP
372,KCNB2
373,CABLES2
374,FIBP
375,GABRD
376,OLFM3
377,VWC2
378,CADPS
379,PCSK2
380,RPH3A
381,NEFM
382,SLC1A6
383,SCGB3A2
384,PCDH8
385,NECAB1
386,NECAB2
387,HPCAL1
388,PPM1E
389,CAMKK2
390,CAMKK1
391,RBM24
392,CAPS
393,TUBB2A
394,CBLN4
395,TAC3
396,CHGB
397,CASC1
398,NME5
399,DNAH2
400,ZNF385B
401,VSTM2L
402,NXPH1
403,CCDC113
404,CCDC96
405,CCDC85A
406,LY6H
407,NPFF
408,PROK2
409,CHRM1
410,CD200
411,INPP5D
412,S100A9
413,IL1RL1
414,EFNA1
415,IL4R
416,ORC6
417,RMI2
418,DYNC1I1
419,LPIN3
420,MOAP1
421,RCC1
422,STMN1
423,PLK2
424,SFN
425,LILRB3
426,CLEC5A
427,RGS1
428,GPR4
429,TMEM59L
430,FBXW9
431,TUBA3C
432,GJB6
433,FCER1A
434,KRT79
435,CLEC2B
436,PAK3
437,CDH19
438,CDH8
439,GPR158
440,SLITRK5
441,DLGAP2
442,FBXO40
443,NGEF
444,NPTXR
445,INSM1
446,OLFM4
447,SCG5
448,SCG3
449,NRGN
450,CHPF
451,CHSY3
452,CHRDL2
453,FSTL4
454,GREM2
455,FSTL5
456,CHRFAM7A
457,CHRNB2
458,CHRNA7
459,CHRM3
460,ROM1
461,KCNJ4
462,PIK3R5
463,CHRM4
464,CHST6
465,TGFBI
466,SLC4A11
467,CIRBP
468,KHDRBS2
469,CISD1
470,PROM2
471,CKMT1A
472,CLIC1
473,CLSTN3
474,HAPLN4
475,LRRTM1
476,GPM6A
477,OXGR1
478,LNX1
479,ELAVL2
480,COG1
481,RAB6B
482,NAPB
483,SERPINH1
484,COPS7A
485,WDTC1
486,LIN7B
487,CPNE4
488,CPNE9
489,CREG2
490,PTH2R
491,EGR4
492,WDR86
493,CRYM
494,CTXN3
495,TEKT3
496,DDN
497,CYP17A1
498,HSD17B1
499,FBN3
500,DHRS11
501,QDPR
502,GSTO2
503,GSTM4
504,GSTA4
505,CYP4X1
506,FAT2
507,DGKI
508,PLD3
509,SPR
510,DIRAS2
511,TMEM130
512,TASP1
513,DLX5
514,MYT1L
515,WNT10B
516,DLX6
517,DMRTC1
518,HS6ST2
519,RWDD2B
520,DOC2A
521,RAB3C
522,MCF2
523,DOCK5
524,TNFRSF10D
525,DUSP2
526,ZFP36
527,DYDC2
528,TMEM61
529,MAGEL2
530,EBI3
531,RPS4Y2
532,RPS4Y1
533,SIGLEC14
534,EFHB
535,GPR179
536,EPHA5
537,SFRP1
538,ISLR
539,WIF1
540,NUPR1
541,MBTPS2
542,FGF12
543,RHBDF2
544,HIP1
545,RNF41
546,S100A10
547,NNMT
548,MAFF
549,PKNOX2
550,RBM3
551,ELF2
552,ELOVL4
553,PRPH2
554,FAR2
555,EMP1
556,ENC1
557,FKBP1B
558,ENPP5
559,PPP1R14C
560,SPHKAP
561,ERAP2
562,NLRP2
563,EVI2A
564,SAMSN1
565,EVI2B
566,SDR16C5
567,GOLT1A
568,PCDH11X
569,FBXL16
570,FBXO16
571,FBXL19
572,ZNF280B
573,GPLD1
574,RNASE2
575,FCGBP
576,NKX2-3
577,SCN3B
578,FGF14
579,RBM11
580,FMR1NB
581,NXF2
582,NFE2
583,SYT16
584,RFX4
585,GSTZ1
586,ZBBX
587,TAS2R16
588,JAKMIP1
589,GABRE
590,SLC6A12
591,NRSN1
592,INSM2
593,ICA1
594,GALNTL5
595,PNP
596,MIA
597,INA
598,GPR61
599,SLC26A4
600,UNC80
601,GLIPR1
602,RGS17
603,OPN3
604,OR52I2
605,OR7G2
606,OR51A7
607,OR52E8
608,OR10H2
609,OR2L13
610,OR11A1
611,HTR4
612,ZIM2
613,GP9
614,LY6D
615,TSPAN7
616,GPR132
617,GPR22
618,GPRIN2
619,SOSTDC1
620,GUCA1B
621,RDH12
622,GULP1
623,HAPLN1
624,KCNS2
625,RASAL3
626,HEBP2
627,RRBP1
628,HMBOX1
629,PAPOLA
630,KCNF1
631,HS3ST2
632,HS6ST3
633,NDST3
634,HSFY2
635,USP9Y
636,NT5DC3
637,NPR3
638,RUNDC1
639,ICAM5
640,KCNA3
641,TCL1B
642,RXFP4
643,ITGA10
644,KCNE4
645,SERTM1
646,KCNV1
647,KDM5D
648,PCDH11Y
649,TBL1Y
650,KIAA0513
651,SLC7A7
652,LOR
653,MILR1
654,LEFTY1
655,LIN28B
656,PAK6
657,PKP3
658,LPCAT4
659,PLA1A
660,NXPH2
661,ODAM
662,P4HTM
663,MAEL
664,SYCE1
665,PNLDC1
666,TAF7L
667,NNAT
668,MAL2
669,TRIM36
670,MAP7D2
671,SLC1A7
672,MEX3A
673,MRAP2
674,MYL5
675,SMTN
676,SVOP
677,NAP1L2
678,NRIP3
679,NMNAT2
680,NPNT
681,SYT13
682,RPA4
683,PRKX
684,PRICKLE1
685,PIAS2
686,PIP5K1B
687,SPINK8
688,POT1
689,PPEF1
690,PPP6R1
691,VPS18
692,PRAMEF12
693,PRAMEF8
694,PRSS35
695,RAB27B
696,RNASE13
697,REP15
698,RNF165
699,S100A5
700,ZNF214
701,ZNF215
702,SLC10A4
703,SLC13A4
704,SLC5A11
705,SLC17A9
706,SLC7A2
707,SLC22A10
708,SLC2A13
709,SLC5A3
710,SLC30A3
711,SLC7A4
712,SYT5
713,SNX10
714,SPON2
715,ST8SIA3
716,UBE2QL1
717,TOX
718,ZFP36L2
