node_0.15
EGFR
ALB
SNAP25
GFAP
NEFL
SLC32A1
PVALB
FOS
BDNF
CCK
NME5
SST
ATP1A3
GAD2
TLR4
VSNL1
SYN1
DIRAS2
GAD1
PXDNL
NEFM
SYP
CCL2
GAP43
STMN2
