node_0.4
CDH1
RPL19
RPS16
RPL23
RPL5
PKM
RPS3A
RPS12
RPS20
RPL24
RPL6
RPL36A
RPL37A
PFN1
RPL26L1
RPS25
RPL39L
ACTG1
NIP7
RPL41
ATP6V0C
KRR1
RAB7A
AGT
NOL6
