Gene
RPL6
RPL19
RPL5
NOL6
RPS3A
RPL24
RPL26L1
RPL36A
RPL37A
RPS12
ATP6V0C
RPL39L
RPS25
RPL23
ACTG1
RPS20
RPS16
PKM
