,Gene
0,ACTG1
1,PFN1
2,CDH1
3,SMARCD3
4,FMN2
5,PKM
6,TPM3
7,AGT
8,CTSD
9,VCAM1
10,DDAH2
11,ATP6V0C
12,ATP6V0D1
13,RPL26L1
14,RPS16
15,RPS20
16,NDUFS2
17,RPL5
18,RPL23
19,RAB7A
20,CASP2
21,CCNF
22,RPL19
23,RPS12
24,TRIOBP
25,CDKN2B
26,SPINT1
27,CRB3
28,RPS25
29,RPL37A
30,RPL36A
31,RPL6
32,RPL24
33,RPS3A
34,CITED1
35,DDX5
36,COPRS
37,RPS6KB2
38,NOL6
39,KRR1
40,NIP7
41,GPN3
42,HSD3B7
43,NDUFB10
44,RPL39L
45,PFKM
46,RPL41
