"Gene symbol","GSM96454","GSM96455","GSM96456","GSM96457","GSM96458","GSM96459","GSM96461","GSM96462","GSM96463","GSM96464","GSM96466","GSM96467","GSM96468","GSM96469","GSM96470","GSM96471","GSM96472","GSM96473","GSM96474","GSM96475","GSM96476","GSM96477","GSM96478","GSM96479","GSM96480","GSM96481","GSM96482","GSM96483"
"TARS2",0,0.383614,0.089733,0.038961,0.1536085,0.1840235,0.097357,0.0935845,0.0588095,0.1079475,0.097797,0.036034,0.1201315,0.174226,0.0745605,0.1749255,0.235648,0.133865,0.7694135,0.0755,0.289655,0.1765875,0.1373125,0.025721,0.1881005,0.483115,0,0.111431
"TATDN1",0,0,0.305708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.409786,0
"TBC1D13",6.565236,4.65202,4.816565,4.614087,4.476621,4.476799,5.526355,3.882971,5.849934,4.579432,4.677555,3.841908,4.382646,4.400978,3.66676,4.16066,4.367539,4.624249,5.266434,5.739294,6.416886,4.743799,3.591868,4.254965,4.938634,4.342398,3.300093,3.556987
"TBC1D17",1.389955,11.667973,2.537587,2.73703,4.418252,3.683831,2.675884,2.472554,3.519298,2.571406,2.207575,2.292578,2.063372,2.577175,4.25785,5.774712,3.128359,4.951909,3.440713,6.486728,7.483339,4.133906,6.780184,4.030228,3.689087,5.091747,4.100104,5.249835
"TBC1D20",0.043347,0,0,0,0.027338,0,0.124155,0,0,0,0,0,0,0,0.047641,0.014747,0.207097,0,0.053981,0.235667,0,0,0.234678,0,0,0,0.207323,0.146821
"TBC1D22A",0.387854666666667,0.074316,0.204706333333333,0.117369666666667,0.315778666666667,0.179042,0.18977,0.135098333333333,0.252538666666667,0.127475333333333,0.210743,0.18462,0.171694,0.425297666666667,1.07161833333333,0.215104666666667,0.402995,0.395024,0.296567333333333,0.311046666666667,0.389443666666667,0.279023333333333,0.459433,0.100700666666667,0.202352666666667,0.433800666666667,0.0271736666666667,0.342918333333333
"TBC1D22B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009115,0
"TBC1D23",0.3020785,0.0318315,0.0789885,0.0640105,0.2312435,0.171951,0.046301,0.2548865,0.1319535,0.0898985,0.072342,0.2185485,0.218348,0.1359535,0.142319,0.2874635,0.0441295,0.200853,0.115211,0.0592125,0.2286945,0.1473145,0.25321,0.2229165,0.161649,0.2252165,0.022648,0.240697
"TBC1D7",0.485604,3.606376,0.288736,0.36807,0.883885,0.55225,0.711279,0.576125,0.534005,0.492823,0.425421,0.35249,0.488635,0.707263,2.023884,3.272011,2.550703,2.142741,2.093536,2.709148,2.476976,2.258471,1.826206,2.073983,2.260925,2.254475,4.772538,1.398142
"TBC1D9B",4.224105,1.6981685,1.793637,2.345893,3.524175,1.5857305,2.411853,2.153275,2.898624,1.234684,2.9771425,2.4973035,1.8289145,2.344155,2.660957,1.878041,2.4063595,0.4238635,2.3685755,1.8003295,2.6331605,1.673999,0.895987,2.091325,2.1504295,1.395866,4.260508,3.1923745
"TBCA",0,0.199546,0.015959,0.386503,0,0.055355,0,0,0.349472,0.294734,0.386788,0.04924,0.1269,0.110503,0,0.07283,0,0,0,0,5.545839,0.058046,0,0,0,5.36926,0,0
"TBCB",0.659737,0.809566,0.74563,0.658867,0.569508,0.453906,0.495206,0.343157,0.607368,0.467462,0.846526,0.374712,0.628762,0.525932,0.190416,0.062941,0.469967,0.584804,0.28728,0.37394,0.590521,0.358594,0.116176,0.417656,0.375653,0,0.215606,0.526979
"TBCC",1.32083,1.151185,0.883097,0.467916,1.409774,0.692758,0.244553,0.606686,1.176442,1.119788,1.201139,0.354864,0.465586,0.802953,0,0.500929,1.030405,1.616011,0.645645,0.782133,0.35832,0.60083,0.72897,0.336083,0.718808,0.363021,2.270044,0.944556
"TBCD",0.147237,0.505295333333333,0.459695,0.435684,0.385712666666667,0.480282,0.247397666666667,0.451159666666667,0.411137,0.367522666666667,0.410746,0.371485666666667,0.396542,0.522025333333333,0.575067666666667,0.642483333333333,0.488789,0.335569,0.509719,0.624389,0.32099,0.692361,0.596007333333333,0.541754,0.600612666666667,0.366490666666667,0.713595333333333,0.684751666666667
