node_0.15,node_0.4,node_0.7,node_0.9
CDH1,CDH1,RPL19,RPS3A
PKM,RPL19,RPL5,RPL5
RPS16,RPS16,RPL23,RPL6
RPL19,RPL23,RPS3A,RPS16
DDX5,RPL5,RPS16,RPL19
ACTG1,PKM,RPL6,RPS12
RPL23,RPS3A,RPL24,RPL24
RPS20,RPS12,RPS12,RPL23
RPL39L,RPS20,RPL36A,RPL37A
RPL26L1,RPL24,RPS20,RPS20
RPS3A,RPL6,RPL37A,RPS25
RPS12,RPL36A,RPS25,RPL36A
RPL36A,RPL37A,RPL39L,RPL26L1
NOL6,PFN1,RPL26L1,RPL39L
RPL5,RPL26L1,PKM,KRR1
PECR,RPS25,CDH1,PKM
NDUFS2,RPL39L,ACTG1,RPL41
RPL6,ACTG1,RPL41,NOL6
RPL24,NIP7,NOL6,NDUFB10
RPL37A,RPL41,ATP6V0C,ATP6V0C
ATP6V0C,ATP6V0C,PFN1,NDUFS2
RPS25,KRR1,KRR1,ATP6V0D1
VCAM1,RAB7A,NIP7,ACTG1
CD84,AGT,NDUFB10,PFN1
EDC3,NOL6,NDUFS2,NIP7
