node_0.7
RPL19
RPL5
RPL23
RPS3A
RPS16
RPL6
RPL24
RPS12
RPL36A
RPS20
RPL37A
RPS25
RPL39L
RPL26L1
PKM
CDH1
ACTG1
RPL41
NOL6
ATP6V0C
PFN1
KRR1
NIP7
NDUFB10
NDUFS2
