node_0.15
CDH1
PKM
RPS16
RPL19
DDX5
ACTG1
RPL23
RPS20
RPL39L
RPL26L1
RPS3A
RPS12
RPL36A
NOL6
RPL5
PECR
NDUFS2
RPL6
RPL24
RPL37A
ATP6V0C
RPS25
VCAM1
CD84
EDC3
