,node1,node2
0,ACTG1,PFN1
1,ACTG1,CDH1
2,ACTG1,SMARCD3
3,ACTG1,FMN2
4,ACTG1,PKM
5,ACTG1,TPM3
6,PFN1,CCNF
7,PFN1,FMN2
8,PFN1,TPM3
9,PFN1,PKM
10,CDH1,RPL19
11,CDH1,RPS12
12,CDH1,TRIOBP
13,CDH1,CDKN2B
14,CDH1,PKM
15,CDH1,VCAM1
16,CDH1,SPINT1
17,CDH1,CRB3
18,CDH1,RPL23
19,CDH1,RPS25
20,CDH1,RPL26L1
21,CDH1,RPS20
22,CDH1,RPL37A
23,CDH1,RPS16
24,CDH1,RPL36A
25,CDH1,RPL6
26,CDH1,RPL24
27,CDH1,RPS3A
28,CDH1,RPL5
29,SMARCD3,AGT
30,SMARCD3,COPRS
31,PKM,ATP6V0C
32,PKM,PFKM
33,PKM,RPL19
34,PKM,RPS12
35,PKM,RPL36A
36,PKM,RPL6
37,PKM,RPS20
38,PKM,RPS16
39,PKM,RPL26L1
40,PKM,RPS3A
41,PKM,RPL37A
42,PKM,RPL24
43,PKM,RPL23
44,PKM,RPL5
45,AGT,CTSD
46,AGT,VCAM1
47,AGT,DDAH2
48,CTSD,ATP6V0D1
49,CTSD,RAB7A
50,VCAM1,CASP2
51,ATP6V0C,ATP6V0D1
52,ATP6V0C,RPL26L1
53,ATP6V0C,RPS16
54,ATP6V0C,RPS20
55,ATP6V0C,NDUFS2
56,ATP6V0C,RPL5
57,ATP6V0C,RPL23
58,ATP6V0D1,RAB7A
59,RPL26L1,NIP7
60,RPL26L1,RPL19
61,RPL26L1,RPL23
62,RPL26L1,RPL24
63,RPL26L1,RPS12
64,RPL26L1,RPS3A
65,RPL26L1,RPL5
66,RPL26L1,RPS16
67,RPL26L1,RPL39L
68,RPL26L1,RPL6
69,RPL26L1,RPL36A
70,RPL26L1,RPL37A
71,RPL26L1,RPL41
72,RPL26L1,RPS25
73,RPL26L1,RPS20
74,RPS16,DDX5
75,RPS16,HSD3B7
76,RPS16,KRR1
77,RPS16,NIP7
78,RPS16,NOL6
79,RPS16,RPL19
80,RPS16,RPL23
81,RPS16,RPL24
82,RPS16,RPL36A
83,RPS16,RPL37A
84,RPS16,RPL39L
85,RPS16,RPL41
86,RPS16,RPL5
87,RPS16,RPL6
88,RPS16,RPS12
89,RPS16,RPS3A
90,RPS16,RPS25
91,RPS16,RPS20
92,RPS20,DDX5
93,RPS20,HSD3B7
94,RPS20,RPL19
95,RPS20,RPL23
96,RPS20,RPL24
97,RPS20,RPL36A
98,RPS20,RPL37A
99,RPS20,RPL39L
100,RPS20,RPL41
101,RPS20,RPL5
102,RPS20,RPL6
103,RPS20,RPS12
104,RPS20,RPS3A
105,RPS20,RPS25
106,NDUFS2,NDUFB10
107,RPL5,HSD3B7
108,RPL5,NIP7
109,RPL5,NOL6
110,RPL5,RPL19
111,RPL5,RPL23
112,RPL5,RPL24
113,RPL5,RPL36A
114,RPL5,RPL37A
115,RPL5,RPL39L
116,RPL5,RPL41
117,RPL5,RPS12
118,RPL5,RPS3A
119,RPL5,RPL6
120,RPL5,RPS25
121,RPL23,HSD3B7
122,RPL23,NIP7
123,RPL23,RPL19
124,RPL23,RPS12
125,RPL23,RPS3A
126,RPL23,RPL24
127,RPL23,RPL39L
128,RPL23,RPL6
129,RPL23,RPL36A
130,RPL23,RPL37A
131,RPL23,RPL41
132,RPL23,RPS25
133,RPL19,DDX5
134,RPL19,HSD3B7
135,RPL19,NIP7
136,RPL19,RPL41
137,RPL19,RPL39L
138,RPL19,RPS25
139,RPL19,RPL37A
140,RPL19,RPL24
141,RPL19,RPS12
142,RPL19,RPL6
143,RPL19,RPL36A
144,RPL19,RPS3A
145,RPS12,KRR1
146,RPS12,NIP7
147,RPS12,NOL6
148,RPS12,RPL24
149,RPS12,RPL36A
150,RPS12,RPL37A
151,RPS12,RPL39L
152,RPS12,RPL41
153,RPS12,RPL6
154,RPS12,RPS3A
155,RPS12,RPS25
156,RPS25,HSD3B7
157,RPS25,NOL6
158,RPS25,RPL24
159,RPS25,RPL36A
160,RPS25,RPL37A
161,RPS25,RPL39L
162,RPS25,RPL41
163,RPS25,RPL6
164,RPS25,RPS3A
165,RPL37A,HSD3B7
166,RPL37A,NIP7
167,RPL37A,RPL24
168,RPL37A,RPL36A
169,RPL37A,RPS3A
170,RPL37A,RPL39L
171,RPL37A,RPL6
172,RPL37A,RPL41
173,RPL36A,RPL24
174,RPL36A,RPS3A
175,RPL36A,RPL39L
176,RPL36A,RPL6
177,RPL36A,RPL41
178,RPL6,NIP7
179,RPL6,NOL6
180,RPL6,RPL24
181,RPL6,RPL39L
182,RPL6,RPL41
183,RPL6,RPS3A
184,RPL24,HSD3B7
185,RPL24,RPS3A
186,RPL24,RPL41
187,RPL24,RPL39L
188,RPS3A,HSD3B7
189,RPS3A,KRR1
190,RPS3A,NOL6
191,RPS3A,RPL39L
192,RPS3A,RPL41
193,CITED1,DDX5
194,DDX5,RPS6KB2
195,DDX5,NOL6
196,DDX5,KRR1
197,DDX5,NIP7
198,NOL6,GPN3
199,NOL6,KRR1
200,NOL6,NIP7
201,KRR1,NIP7
202,NIP7,RPL39L
203,RPL39L,RPL41
